bus,load_kw,load_kvar,pv_kw
0,0.0,0.0,0.0
1,100.0,60.0,0.0
2,90.0,40.0,0.0
3,120.0,80.0,0.0
4,60.0,30.0,0.0
5,60.0,20.0,0.0
6,200.0,100.0,0.0
7,200.0,100.0,0.0
8,60.0,20.0,0.0
9,60.0,20.0,0.0
10,45.0,30.0,0.0
11,60.0,35.0,0.0
12,60.0,35.0,0.0
13,120.0,80.0,0.0
14,60.0,10.0,0.0
15,60.0,20.0,0.0
16,60.0,20.0,0.0
17,90.0,40.0,0.0
18,90.0,40.0,0.0
19,90.0,40.0,0.0
20,90.0,40.0,0.0
21,90.0,40.0,0.0
22,90.0,50.0,0.0
23,420.0,200.0,0.0
24,420.0,200.0,0.0
25,60.0,25.0,0.0
26,60.0,25.0,0.0
27,60.0,20.0,0.0
28,120.0,70.0,0.0
29,200.0,600.0,0.0
30,150.0,70.0,0.0
31,210.0,100.0,0.0
32,60.0,40.0,0.0
