from_bus,to_bus,r_ohm,x_ohm,status,line_type
0,1,0.0922,0.047,1,radial
1,2,0.493,0.2511,1,radial
2,3,0.366,0.1864,1,radial
3,4,0.3811,0.1941,1,radial
4,5,0.819,0.707,1,radial
5,6,0.1872,0.6188,1,radial
6,7,0.7114,0.2351,1,radial
7,8,1.03,0.74,1,radial
8,9,1.044,0.74,1,radial
9,10,0.1966,0.065,1,radial
10,11,0.3744,0.1238,1,radial
11,12,1.468,1.155,1,radial
12,13,0.5416,0.7129,1,radial
13,14,0.591,0.526,1,radial
14,15,0.7463,0.545,1,radial
15,16,1.289,1.721,1,radial
16,17,0.732,0.574,1,radial
1,18,0.164,0.1565,1,radial
18,19,1.5042,1.3554,1,radial
19,20,0.4095,0.4784,1,radial
20,21,0.7089,0.9373,1,radial
2,22,0.4512,0.3083,1,radial
22,23,0.898,0.7091,1,radial
23,24,0.896,0.7011,1,radial
5,25,0.203,0.1034,1,radial
25,26,0.2842,0.1447,1,radial
26,27,1.059,0.9337,1,radial
27,28,0.8042,0.7006,1,radial
28,29,0.5075,0.2585,1,radial
29,30,0.9744,0.963,1,radial
30,31,0.3105,0.3619,1,radial
31,32,0.341,0.5302,1,radial
20,7,2.0,2.0,0,tie
8,14,2.0,2.0,0,tie
11,21,2.0,2.0,0,tie
17,32,0.5,0.5,0,tie
24,28,0.5,0.5,0,tie
