step,date_time,raw_feasible,env_infeasible_action,raw_not_converged,raw_voltage_bad,raw_current_bad,raw_battery_limited,raw_max_voltage_violation,raw_max_line_current_violation,raw_min_voltage_pu,raw_max_voltage_pu,raw_max_line_current_pu,worst_line_index,worst_line_current_pu,worst_line_limit_pu,worst_line_ratio,requested_action_norm,accepted_action_norm,action_changed_norm
0,2018-01-01 00:00:00+00:00,True,False,False,False,False,False,0.0,0.0,0.9593997597694397,1.0,3.375206232070923,25,0.035224564373493195,0.04331669211387634,0.8131868490994292,2.0884877440723852,2.0884877440723852,0.0
1,2018-01-01 00:15:00+00:00,False,True,False,False,True,False,0.0,0.026962604584026745,0.9546358585357666,1.0,3.4885706901550293,25,0.07027930021286011,0.04331669211387634,1.6224530725499788,1.7475614090049516,0.9287256248349495,0.818835784170007
2,2018-01-01 00:30:00+00:00,False,True,False,False,True,False,0.0,0.043976296121249536,0.959812343120575,1.0,3.410144329071045,63,0.1198124811053276,0.07583618760108947,1.5798853409609737,1.6303915293446414,0.6316469282659125,0.9987446010787301
3,2018-01-01 00:45:00+00:00,False,True,False,False,True,False,0.0,0.0283836160195831,0.9614108204841614,1.0,3.3819992542266846,63,0.10421980172395706,0.07583618760108947,1.3742753297696078,1.449436931675748,0.6932610468125413,0.7561758848632079
4,2018-01-01 01:00:00+00:00,False,True,False,False,True,False,0.0,0.02663516545294295,0.955970287322998,1.0,3.4256725311279297,20,0.24558135867118835,0.21894620060920714,1.121651611162332,1.6831049896760473,1.1042850815771672,0.5788199080988833
5,2018-01-01 01:15:00+00:00,True,False,False,False,False,False,0.0,0.0,0.9661628007888794,1.0,3.2752647399902344,25,0.04211599379777908,0.04331669211387634,0.9722809324188303,2.028237873971385,2.028237873971385,0.0
6,2018-01-01 01:30:00+00:00,False,True,False,False,True,False,0.0,0.03569003627304208,0.9622238278388977,1.0,3.3738110065460205,63,0.11152622103691101,0.07583618760108947,1.4706200900229434,1.3250655322937899,0.5703971453368382,0.7546683869569558
7,2018-01-01 01:45:00+00:00,False,True,False,False,True,False,0.0,0.07396310675772674,0.9528627991676331,1.0,3.5421619415283203,22,0.21148695051670074,0.1392521470785141,1.5187338576363834,1.6822326032322343,0.6517312042912591,1.0305013989409795
8,2018-01-01 02:00:00+00:00,False,True,False,False,True,False,0.0,0.006673777776139429,0.9614444375038147,1.0,3.3328187465667725,25,0.049990471452474594,0.04331669211387634,1.1540694594373315,1.1255390125189315,0.9116865427650326,0.21385246975389935
9,2018-01-01 02:15:00+00:00,False,True,False,False,True,False,0.0,0.015102290904366072,0.9520581960678101,1.0,3.5784904956817627,63,0.09034506231546402,0.07583618760108947,1.1913186194260392,1.600957169099042,1.0503878553151258,0.5505693137839176
10,2018-01-01 02:30:00+00:00,False,True,False,False,True,False,0.0,0.008939403503871068,0.9592933654785156,1.0,3.405914545059204,25,0.05225609615445137,0.04331669211387634,1.2063731925114227,1.4152636857073373,1.1463635134057137,0.2689001723016255
11,2018-01-01 02:45:00+00:00,True,False,False,False,False,False,0.0,0.0,0.9627701640129089,1.0,3.3401520252227783,63,0.06352942436933517,0.07583618760108947,0.8377191203691587,1.486571593600563,1.486571593600563,0.0
12,2018-01-01 03:00:00+00:00,True,False,False,False,False,False,0.0,0.0,0.9590253829956055,1.0,3.408036231994629,43,0.24532610177993774,0.30871546268463135,0.7946673601851648,1.534512162365579,1.534512162365579,0.0
13,2018-01-01 03:15:00+00:00,True,False,False,False,False,False,0.0,0.0,0.9636467099189758,1.0,3.272160291671753,43,0.24608294665813446,0.30871546268463135,0.797118953868277,1.724779718855061,1.724779718855061,0.0
14,2018-01-01 03:30:00+00:00,False,True,False,False,True,False,0.0,0.08491820209368432,0.9558625817298889,1.0,3.447821617126465,24,0.18510198593139648,0.10193438529968261,1.8158934827262143,1.6381898466965115,0.462673058483266,1.1755167882132467
15,2018-01-01 03:45:00+00:00,False,True,False,False,True,False,0.0,0.0009323051905933133,0.959875762462616,1.0,3.426272392272949,63,0.07676849514245987,0.07583618760108947,1.0122937026617753,1.518400864302923,1.3665607351501976,0.1518401291527298
16,2018-01-01 04:00:00+00:00,False,True,False,False,True,False,0.0,0.04275552002050044,0.9581984877586365,1.0,3.477616786956787,63,0.11859171092510223,0.07583618760108947,1.563787878537799,1.6853131677664717,0.6529247101596506,1.0323884576068239
17,2018-01-01 04:15:00+00:00,False,True,False,True,True,False,0.0010550402650802981,0.10065099735273748,0.9489449858665466,1.0,3.6434152126312256,24,0.20031169056892395,0.10193438529968261,1.9651042185619345,2.2307892405254717,0.567036522544638,1.663752717980838
18,2018-01-01 04:30:00+00:00,False,True,False,False,True,False,0.0,0.003999837979287879,0.9586235284805298,1.0,3.3963279724121094,23,0.11981085687875748,0.11581101715564728,1.0345376443567067,1.5547730791440435,1.2593661655666466,0.29540691357739723
19,2018-01-01 04:45:00+00:00,False,True,False,False,True,False,0.0,0.058639252076689186,0.9598432183265686,1.0,3.3975868225097656,24,0.14934508502483368,0.10193438529968261,1.4651099782057417,1.6350481458652297,0.633450974359818,1.0015971715054186
20,2018-01-01 05:00:00+00:00,False,True,False,True,True,False,0.0011743165070975392,0.04908635689189633,0.9488256573677063,1.0,3.6203629970550537,22,0.17160122096538544,0.1392521470785141,1.2323057458398257,1.5873774450140703,0.8435973423973877,0.743780102616685
21,2018-01-01 05:15:00+00:00,True,False,False,False,False,False,0.0,0.0,0.9588568210601807,1.0,3.5108063220977783,63,0.06851275265216827,0.07583618760108947,0.9034308661790379,1.462744563000279,1.462744563000279,0.0
22,2018-01-01 05:30:00+00:00,False,True,False,False,True,False,0.0,0.029860968971302762,0.9605346918106079,1.0,3.4754412174224854,25,0.07317765802145004,0.04331669211387634,1.6893639484074974,2.1083549567167785,1.2449623602396573,0.863392596477124
23,2018-01-01 05:45:00+00:00,True,False,False,False,False,False,0.0,0.0,0.9609904289245605,1.0,3.4365651607513428,67,0.04497012123465538,0.05435650795698166,0.8273180696273799,1.781281367705355,1.781281367705355,0.0
24,2018-01-01 06:00:00+00:00,False,True,False,False,True,False,0.0,0.028755753257334385,0.9544785022735596,1.0,3.6819205284118652,25,0.07207244634628296,0.04331669211387634,1.663849265239596,1.9067927619073872,1.125941890666346,0.7808508712410421
25,2018-01-01 06:15:00+00:00,False,True,False,False,True,False,0.0,0.044706674205782976,0.9538753032684326,1.0,3.7230794429779053,63,0.12054286152124405,0.07583618760108947,1.5895163685616538,1.6260287460106537,0.5669609986621656,1.0590677473484897
26,2018-01-01 06:30:00+00:00,False,True,False,False,True,False,0.0,0.02412288051911038,0.9586637020111084,1.0,3.6364169120788574,25,0.06743957102298737,0.04331669211387634,1.5568956845941462,1.8195178628506554,1.0744070202253166,0.7451108426253398
27,2018-01-01 06:45:00+00:00,False,True,False,False,True,False,0.0,0.04848319252585606,0.9517728686332703,1.0,3.714141368865967,25,0.058101460337638855,0.04331669211387634,1.3413180347403828,1.7911736907106786,0.8567126244595172,0.9344610662511643
28,2018-01-01 07:00:00+00:00,False,True,False,False,True,False,0.0,0.02780738951663886,0.9567661881446838,1.0,3.650953769683838,25,0.07112408429384232,0.04331669211387634,1.6419555793148382,2.1695805821531957,1.2811154777455451,0.8884651044076629
29,2018-01-01 07:15:00+00:00,True,False,False,False,False,False,0.0,0.0,0.9569008350372314,1.0,3.691425085067749,63,0.06656510382890701,0.07583618760108947,0.8777485516419965,1.6024960614812818,1.6024960614812818,0.0
30,2018-01-01 07:30:00+00:00,False,True,False,False,True,False,0.0,0.023961333054699427,0.9553024172782898,1.0,3.7115607261657715,23,0.13977235555648804,0.11581101715564728,1.2069003363353357,1.7801830237381406,0.9460620855209892,0.8341209382171546
31,2018-01-01 07:45:00+00:00,False,True,False,False,True,False,0.0,0.009097295040143505,0.9617453813552856,1.0,3.6032192707061768,22,0.14834944903850555,0.1392521470785141,1.0653297069442107,1.731740427746472,1.262438664207872,0.46930176353860215
32,2018-01-01 08:00:00+00:00,False,True,False,True,True,False,0.0022771043225749965,0.04029793875227661,0.9477229118347168,1.0,3.7831790447235107,22,0.17955008149147034,0.1392521470785141,1.2893882446942464,1.698588587635371,0.8124295351851458,0.8861590524502257
33,2018-01-01 08:15:00+00:00,True,False,False,False,False,False,0.0,0.0,0.9610180258750916,1.0,3.5326387882232666,43,0.2560703456401825,0.30871546268463135,0.8294704237143167,1.5733578682666198,1.5733578682666198,0.0
34,2018-01-01 08:30:00+00:00,True,False,False,False,False,False,0.0,0.0,0.9584153890609741,1.0,3.473414897918701,15,0.562043309211731,0.6094990968704224,0.9221396915887795,1.8874104223419395,1.8874104223419395,0.0
35,2018-01-01 08:45:00+00:00,False,True,False,False,True,False,0.0,0.02924943044245082,0.9535916447639465,1.0,3.587641477584839,25,0.07256612181663513,0.04331669211387634,1.6752461528194311,1.6492495889971028,0.9738652533996524,0.675384335597457
36,2018-01-01 09:00:00+00:00,True,False,False,False,False,False,0.0,0.0,0.9593376517295837,1.0,3.4578676223754883,43,0.2521229386329651,0.30871546268463135,0.8166838694779651,1.3233355825542081,1.3233355825542081,0.0
37,2018-01-01 09:15:00+00:00,False,True,False,False,True,False,0.0,0.025742106556935554,0.9638100266456604,1.0,3.270019054412842,63,0.10157829523086548,0.07583618760108947,1.3394435881347786,2.08489899768731,0.9972005588057038,1.0876984388816084
38,2018-01-01 09:30:00+00:00,True,False,False,False,False,False,0.0,0.0,0.9640399217605591,1.0,3.2088942527770996,22,0.1231674924492836,0.1392521470785141,0.8844925915565126,1.6251796448533957,1.6251796448533957,0.0
39,2018-01-01 09:45:00+00:00,True,False,False,False,False,False,0.0,0.0,0.9690737128257751,1.0,3.0181455612182617,43,0.24630866944789886,0.30871546268463135,0.7978501216167322,1.41774955603263,1.41774955603263,0.0
40,2018-01-01 10:00:00+00:00,False,True,False,False,True,False,0.0,0.009825395195239159,0.9603298306465149,1.0,3.21238112449646,24,0.11175978183746338,0.10193438529968261,1.0963894225574082,1.7771735315432193,1.4395104854938232,0.3376630460493984
41,2018-01-01 10:15:00+00:00,False,True,False,False,True,False,0.0,0.001833635168037799,0.9626611471176147,1.0,3.16264009475708,25,0.04515032842755318,0.04331669211387634,1.042330940434148,1.3980977379032713,1.2582879336049486,0.13980980429832612
42,2018-01-01 10:30:00+00:00,False,True,False,False,True,False,0.0,0.0225971092470732,0.9704443216323853,1.0,2.8785247802734375,25,0.06591380387544632,0.04331669211387634,1.5216721466672445,1.9315291883509005,1.026493676928695,0.9050355114222098
43,2018-01-01 10:45:00+00:00,True,False,False,False,False,True,0.0,0.0,0.9689921140670776,1.0,2.942992687225342,63,0.06947535276412964,0.07583618760108947,0.9161240162754641,1.3893518316210491,1.3893518316210491,0.0
44,2018-01-01 11:00:00+00:00,True,False,False,False,False,True,0.0,0.0,0.9737758636474609,1.0,2.7298738956451416,43,0.23316094279289246,0.30871546268463135,0.7552616275365458,1.598611179456852,1.598611179456852,0.0
45,2018-01-01 11:15:00+00:00,False,True,False,False,True,True,0.0,0.0007590516814817497,0.9720402359962463,1.0,2.6849677562713623,25,0.04407574236392975,0.04331669211387634,1.017523273662216,1.8240090036964085,1.6416080999903104,0.18240090370609943
46,2018-01-01 11:30:00+00:00,False,True,False,False,True,False,0.0,0.05599590261711736,0.9669655561447144,1.0,2.688920021057129,24,0.15793028473854065,0.10193438529968261,1.5493327818108928,2.352969673048597,1.2504643943723739,1.1025052786762262
47,2018-01-01 11:45:00+00:00,False,True,False,False,True,False,0.0,0.013801365282218453,0.9585033655166626,1.0,2.8955507278442383,20,0.23274756968021393,0.21894620060920714,1.0630354353380198,1.7316876301568398,1.5585188573090345,0.17316877284780705
48,2018-01-01 12:00:00+00:00,False,True,False,False,True,True,0.0,0.04157279904775654,0.9746901988983154,1.0,2.7098937034606934,25,0.0848894938826561,0.04331669211387634,1.9597409160304293,1.7302774723091496,0.6703447470748672,1.0599327252342872
49,2018-01-01 12:15:00+00:00,True,False,False,False,False,True,0.0,0.0,0.968633770942688,1.0,2.845202684402466,25,0.04164569079875946,0.04331669211387634,0.961423616772861,2.0617156266253027,2.0617156266253027,0.0
50,2018-01-01 12:30:00+00:00,False,True,False,False,True,False,0.0,0.003367032816362525,0.9642542004585266,1.0,2.9338438510894775,24,0.10530141741037369,0.10193438529968261,1.0330313671955949,1.7985531492847282,1.6186978005358066,0.17985534874892617
51,2018-01-01 12:45:00+00:00,True,False,False,False,False,True,0.0,0.0,0.9614408016204834,1.0,2.9780960083007812,14,0.5192558765411377,0.6277535676956176,0.8271651540703185,1.91057846218209,1.91057846218209,0.0
52,2018-01-01 13:00:00+00:00,False,True,False,False,True,False,0.0,0.027904411279797536,0.9577710628509521,1.0,3.150108814239502,63,0.10374059528112411,0.07583618760108947,1.367956361767766,1.7132063186844282,1.0116310781633053,0.7015752405211245
53,2018-01-01 13:15:00+00:00,False,True,False,False,True,False,0.0,0.015488767204084153,0.9533172845840454,1.0,3.14294695854187,24,0.1174231544137001,0.10193438529968261,1.1519484231790988,1.7988519417487558,1.311362915065688,0.4874890266830706
