feeder,architecture,run,topology_case,episodes,unique_episode_ids,unique_start_indices,duplicate_keys,exact_duplicate_rows_removed,source_folder,status
IEEE33,gat,0,TP1,31,31,31,0,0,gat_ieee33_tp_full_eval_run0_best,loaded
IEEE33,gat,0,TP2,31,31,31,0,0,gat_ieee33_tp_full_eval_run0_best,loaded
IEEE33,gat,0,TP3,31,31,31,0,0,gat_ieee33_tp_full_eval_run0_best,loaded
IEEE33,gat,0,TP4,31,31,31,0,0,gat_ieee33_tp_full_eval_run0_best,loaded
IEEE33,gat,0,TP5,31,31,31,0,0,gat_ieee33_tp_full_eval_run0_best,loaded
IEEE33,gat,0,TP6,31,31,31,0,0,gat_ieee33_tp_full_eval_run0_best,loaded
IEEE33,gat,0,TP7,31,31,31,0,0,gat_ieee33_tp_full_eval_run0_best,loaded
IEEE33,gat,1,TP1,31,31,31,0,0,gat_ieee33_tp_full_eval_run1_best,loaded
IEEE33,gat,1,TP2,31,31,31,0,0,gat_ieee33_tp_full_eval_run1_best,loaded
IEEE33,gat,1,TP3,31,31,31,0,0,gat_ieee33_tp_full_eval_run1_best,loaded
IEEE33,gat,1,TP4,31,31,31,0,0,gat_ieee33_tp_full_eval_run1_best,loaded
IEEE33,gat,1,TP5,31,31,31,0,0,gat_ieee33_tp_full_eval_run1_best,loaded
IEEE33,gat,1,TP6,31,31,31,0,0,gat_ieee33_tp_full_eval_run1_best,loaded
IEEE33,gat,1,TP7,31,31,31,0,0,gat_ieee33_tp_full_eval_run1_best,loaded
IEEE33,gat,2,TP1,31,31,31,0,0,gat_ieee33_tp_full_eval_run2_best,loaded
IEEE33,gat,2,TP2,31,31,31,0,0,gat_ieee33_tp_full_eval_run2_best,loaded
IEEE33,gat,2,TP3,31,31,31,0,0,gat_ieee33_tp_full_eval_run2_best,loaded
IEEE33,gat,2,TP4,31,31,31,0,0,gat_ieee33_tp_full_eval_run2_best,loaded
IEEE33,gat,2,TP5,31,31,31,0,0,gat_ieee33_tp_full_eval_run2_best,loaded
IEEE33,gat,2,TP6,31,31,31,0,0,gat_ieee33_tp_full_eval_run2_best,loaded
IEEE33,gat,2,TP7,31,31,31,0,0,gat_ieee33_tp_full_eval_run2_best,loaded
IEEE33,gcn,0,TP1,31,31,31,0,0,gcn_ieee33_tp_full_eval_run0_best,loaded
IEEE33,gcn,0,TP2,31,31,31,0,0,gcn_ieee33_tp_full_eval_run0_best,loaded
IEEE33,gcn,0,TP3,31,31,31,0,0,gcn_ieee33_tp_full_eval_run0_best,loaded
IEEE33,gcn,0,TP4,31,31,31,0,0,gcn_ieee33_tp_full_eval_run0_best,loaded
IEEE33,gcn,0,TP5,31,31,31,0,0,gcn_ieee33_tp_full_eval_run0_best,loaded
IEEE33,gcn,0,TP6,31,31,31,0,0,gcn_ieee33_tp_full_eval_run0_best,loaded
IEEE33,gcn,0,TP7,31,31,31,0,0,gcn_ieee33_tp_full_eval_run0_best,loaded
IEEE33,gcn,1,TP1,31,31,31,0,0,gcn_ieee33_tp_full_eval_run1_best,loaded
IEEE33,gcn,1,TP2,31,31,31,0,0,gcn_ieee33_tp_full_eval_run1_best,loaded
IEEE33,gcn,1,TP3,31,31,31,0,0,gcn_ieee33_tp_full_eval_run1_best,loaded
