feeder,topology_case,episode_id,start_index,gat,gcn,mlp,tagconv
IEEE33,TP1,0,32064,363.50085302986326,349.1925947195673,364.340747685379,354.90948288449573
IEEE33,TP1,1,32160,295.2049630357208,280.68828075196865,295.8449610146694,287.4460882118347
IEEE33,TP1,2,32256,512.1511074902774,510.2001098455209,517.521914879484,510.023574974066
IEEE33,TP1,3,32352,594.6980093124897,576.4240250794703,595.2067568070696,585.3335171947534
IEEE33,TP1,4,32448,773.4710806286183,782.4042757935454,774.6194901318789,768.7104929491302
IEEE33,TP1,5,32544,1372.9523261828429,1378.6740813605963,1382.1506774261852,1378.1156213778006
IEEE33,TP1,6,32640,1226.3108798214175,1231.462046712587,1233.113618883736,1228.0686877381245
IEEE33,TP1,7,32736,696.6091754221507,692.9172224866987,689.4335281518479,689.5861683990491
IEEE33,TP1,8,32832,442.58314624402874,418.5594593660514,434.4920579399133,432.14325073246897
IEEE33,TP1,9,32928,695.9653578080209,682.0168589268006,699.8631086647497,684.8153882699222
IEEE33,TP1,10,33024,820.0960994721303,820.7442953787036,827.8270836739681,810.2085213211559
IEEE33,TP1,11,33120,879.1422373532687,881.0359087691808,880.2672990949274,870.7196048929778
IEEE33,TP1,12,33216,582.8692958651585,563.643600276404,580.873518601754,570.3572425519584
IEEE33,TP1,13,33312,784.881302326305,779.2673569834841,785.0616220992166,778.6197238629175
IEEE33,TP1,14,33408,376.6654384135641,369.45021335132645,378.5364358533547,370.2788671245592
IEEE33,TP1,15,33504,341.2520361219136,335.6581804231775,332.89506021988456,331.14736695103176
IEEE33,TP1,16,33600,564.0292395193295,566.4650758278099,570.2667550767693,562.8458569310104
IEEE33,TP1,17,33696,722.905651741834,721.2514274877275,721.2547896275559,717.8687307950971
IEEE33,TP1,18,33792,889.5100396605714,886.3844413527207,890.0341198945185,887.239779014692
IEEE33,TP1,19,33888,461.899940593612,457.795756810181,464.5849235773823,459.18392534323726
IEEE33,TP1,20,33984,431.9076352669067,431.9563541051339,435.9289705069918,430.44172243787216
IEEE33,TP1,21,34080,301.77126222650094,301.73543725898634,305.42989158500774,300.9241230796385
IEEE33,TP1,22,34176,240.15632436062523,238.6056050909758,243.37179144093227,238.7398680441493
IEEE33,TP1,23,34272,617.8357741248368,617.9498831644439,612.7506823198634,611.8788992291057
IEEE33,TP1,24,34368,699.5676155543651,700.8537364666381,698.080198844531,692.4810845899427
IEEE33,TP1,25,34464,895.5754521154244,895.5138106179162,898.4770656290189,895.07720502582
IEEE33,TP1,26,34560,522.3881040228558,519.3057020335831,527.9963392369149,519.9710088668832
IEEE33,TP1,27,34656,413.7459112216877,413.8178582424735,417.4378028732945,412.50114637542293
IEEE33,TP1,28,34752,347.537125124449,350.44894153523734,346.81286396179894,344.772026866907
IEEE33,TP1,29,34848,378.1635175685148,379.2630946083286,379.5817623933504,377.7014903354643
IEEE33,TP1,30,34944,479.0045353548062,493.1267079991944,485.4322607444149,473.03015489718194
IEEE33,TP2,0,32064,361.75750309030536,347.75228814380154,362.1727272392863,353.24034197312676
IEEE33,TP2,1,32160,293.6292019590174,280.0047279409362,294.51664395566917,286.0456757120781
IEEE33,TP2,2,32256,509.5465715986656,507.21008178134633,512.9328164796277,507.33008190014834
IEEE33,TP2,3,32352,590.0913486711743,571.6655373382933,590.1244418458333,581.3253540646723
IEEE33,TP2,4,32448,768.2025920356127,776.9586289050754,768.7549035527642,763.725085897112
IEEE33,TP2,5,32544,1364.5349780443673,1369.7206637350635,1372.4166435861553,1369.520315353526
IEEE33,TP2,6,32640,1218.5210500165022,1223.892830868439,1224.4875324668758,1219.886298908451
IEEE33,TP2,7,32736,693.1564926124632,689.7134486611253,685.6007194186808,686.733656735027
IEEE33,TP2,8,32832,439.3230927515279,416.96936500158364,432.5843834489271,430.2294209090417
IEEE33,TP2,9,32928,692.1438598579965,676.7058845263105,694.648194750164,681.7497262096607
IEEE33,TP2,10,33024,815.9890094647404,814.7303633491196,819.5541182289995,804.6661030779583
IEEE33,TP2,11,33120,873.7603571948479,875.971984581521,873.5853386488369,866.7527075991206
IEEE33,TP2,12,33216,578.8296861212151,559.7092103978865,575.3096053678003,566.8016682056605
IEEE33,TP2,13,33312,779.9065227857174,775.1610020577755,780.1189707395115,774.3297996668151
IEEE33,TP2,14,33408,375.0909800614609,367.71255243632527,376.0047595554128,368.26774687761286
IEEE33,TP2,15,33504,340.09617550246946,334.9916880714705,331.1791578266107,330.5940730103386
IEEE33,TP2,16,33600,561.277651634977,563.5094024058684,565.8295356226881,559.7757367215945
IEEE33,TP2,17,33696,718.5316099156512,717.4409201823759,715.6283062035872,714.5881760665276
IEEE33,TP2,18,33792,884.1296821403284,881.9500277862211,884.0556747847864,881.7754774542005
IEEE33,TP2,19,33888,458.06380580826993,455.22896763717154,460.38032974147524,456.856248521602
IEEE33,TP2,20,33984,428.2109807788983,429.5569004937326,431.90975049443387,427.9719421162854
IEEE33,TP2,21,34080,300.4162781779339,300.7411433847307,303.950731877509,299.79553543308805
IEEE33,TP2,22,34176,239.761931170655,238.0173244037002,242.57554144967423,237.79492426506772
IEEE33,TP2,23,34272,614.0027342107358,613.5786106434596,608.3048078162295,608.1952151151341
IEEE33,TP2,24,34368,695.0591063709948,696.7039179978925,693.4862826991927,688.2944666692628
IEEE33,TP2,25,34464,890.2013433425573,889.9939380200348,892.6992897942869,889.4478482646203
IEEE33,TP2,26,34560,519.0676775891073,516.2258807419196,522.4197053815109,516.4162805927098
IEEE33,TP2,27,34656,409.5447457665177,410.46311538711603,413.06576725356757,409.99393683496356
IEEE33,TP2,28,34752,346.1632952625664,348.61176421605774,345.6680889882791,343.205818776202
IEEE33,TP2,29,34848,376.90915263494344,377.86014700758807,377.6500504630889,376.2588733666426
IEEE33,TP2,30,34944,472.64004730612965,489.7904554293577,479.68585504444746,471.30440817627226
IEEE33,TP3,0,32064,363.573792334085,353.73786141880663,363.94628037226107,359.20309617644307
IEEE33,TP3,1,32160,295.05540667128224,285.6516939791225,295.80167209736436,291.2814764008444
IEEE33,TP3,2,32256,512.5968739307017,513.4693650264359,516.4948415200823,514.2412258698944
IEEE33,TP3,3,32352,593.3030907286845,578.8537337349504,594.0919013162202,590.340282096928
IEEE33,TP3,4,32448,770.6090168926879,781.1914785708117,773.2023156014038,768.6486615510145
IEEE33,TP3,5,32544,1370.723062615887,1376.6181319353138,1379.8877701018475,1376.0046979005003
IEEE33,TP3,6,32640,1225.6534922752192,1229.6099818442651,1230.906081775797,1227.4823823337094
IEEE33,TP3,7,32736,694.4972584878687,691.5925258051607,688.3679462683364,691.2721398892077
IEEE33,TP3,8,32832,440.4179884811969,422.0303640703407,433.8864201751607,434.14380934294286
IEEE33,TP3,9,32928,693.8806199434044,684.2552225864301,699.3969497378445,689.9936644678161
IEEE33,TP3,10,33024,821.4918231429662,821.2430918743439,826.8183496153939,812.5870895277097
IEEE33,TP3,11,33120,877.522734200411,881.8145802730754,878.8467920915697,873.1188594395626
IEEE33,TP3,12,33216,580.1931470663839,568.2097002252176,579.8254511041496,573.902855308136
IEEE33,TP3,13,33312,783.9998108636931,778.8373387741259,783.8673925852742,776.6180938474168
IEEE33,TP3,14,33408,374.3293733566879,372.8585026665842,377.7866911375924,374.9618806249326
IEEE33,TP3,15,33504,339.36238304222485,341.6119443169984,332.5212518841395,334.5567333540696
IEEE33,TP3,16,33600,566.2080080946399,567.8529359307155,569.2842800280491,566.0003030023456
IEEE33,TP3,17,33696,722.7958892282468,720.4494705706206,719.7912376752647,718.1708255197067
IEEE33,TP3,18,33792,888.2399652597982,883.5969393669617,888.8077212609923,886.6702256698677
IEEE33,TP3,19,33888,461.0862217151223,461.66463225233696,463.7444406901646,463.343288419458
IEEE33,TP3,20,33984,430.37549134679756,435.4105068926936,435.0319821730506,434.5753775722253
IEEE33,TP3,21,34080,301.20627635127875,302.69896184909726,305.05295694037574,304.9137032293493
IEEE33,TP3,22,34176,239.81344814980412,239.683101922043,243.39006892284155,242.5129295792681
IEEE33,TP3,23,34272,617.0240954059028,617.3413380166257,611.780117545214,609.6276488426653
IEEE33,TP3,24,34368,698.0262714618889,700.8151918603802,697.1624873841562,692.8893884910152
IEEE33,TP3,25,34464,894.7417655536791,892.342753674848,897.4886128182908,894.202857536523
IEEE33,TP3,26,34560,520.5523306173505,522.9796148268034,527.0077599267433,525.0711132674306
IEEE33,TP3,27,34656,411.4036705562475,416.88906959236164,416.310684414033,417.47957856332124
IEEE33,TP3,28,34752,346.6442168719177,349.5617136004267,346.41770954673535,343.5296848097776
IEEE33,TP3,29,34848,377.28880006298095,379.02375228434283,379.134052565148,375.77125066318507
IEEE33,TP3,30,34944,475.71168395809946,493.14368509564457,483.9431050549702,477.9162771005478
IEEE33,TP4,0,32064,360.77741838599167,346.9193669493902,361.4169009421717,357.40891747829545
IEEE33,TP4,1,32160,292.9345047271153,280.114135092681,293.9280552953134,289.44088998422
IEEE33,TP4,2,32256,509.45800881896935,506.68006087207374,511.56297750729544,509.78107318230246
IEEE33,TP4,3,32352,588.5875482360669,570.4720498113402,587.0801075063102,586.0252921387593
IEEE33,TP4,4,32448,765.0917612061875,773.7938091294715,765.9520289332105,764.8415701794567
IEEE33,TP4,5,32544,1360.0931550109865,1365.4957039915873,1368.0950461004284,1365.5946012609713
IEEE33,TP4,6,32640,1214.9138559502007,1220.2318882888253,1220.2807847588997,1217.6165956810044
IEEE33,TP4,7,32736,691.835449424217,688.2055717285833,683.8333023565332,687.9553848033851
IEEE33,TP4,8,32832,438.21077300853557,417.254525114411,431.5753437801016,432.81184529783826
IEEE33,TP4,9,32928,690.5923883315116,675.6196814650265,691.4961867448284,685.1261942325723
IEEE33,TP4,10,33024,814.8355492887049,810.9483879765577,815.3174883747633,806.0699207463396
IEEE33,TP4,11,33120,870.8469082909845,873.9323627415257,870.7744282356163,865.9542651219468
IEEE33,TP4,12,33216,577.420795139043,560.3298829875058,573.2938662082543,571.079663226028
IEEE33,TP4,13,33312,776.9986882901759,774.4741071878183,777.2155177579649,770.9485182255172
IEEE33,TP4,14,33408,374.0520544448961,367.27967390140947,374.9797429162265,372.9653265052022
IEEE33,TP4,15,33504,339.8912006142776,337.23469864164537,330.77679974214055,333.4511515994399
IEEE33,TP4,16,33600,561.6752653828216,563.8195106171037,563.1917009405076,562.5798576017208
IEEE33,TP4,17,33696,716.4552531707442,716.4123627427008,712.5762584326353,711.7510664693959
IEEE33,TP4,18,33792,881.3962143197764,879.6672475591635,880.9446410035571,878.8562684192302
IEEE33,TP4,19,33888,456.73521107932964,454.59928793159446,458.51693177089186,459.97467583239614
IEEE33,TP4,20,33984,426.913928657624,428.5264735303892,430.13880693681745,431.3812759888082
IEEE33,TP4,21,34080,299.4425581654337,299.59319270893724,303.38498269316614,303.30233653287513
IEEE33,TP4,22,34176,238.87546705323655,237.7142429176334,242.05993062835975,240.3724861385427
IEEE33,TP4,23,34272,612.1693165637971,612.0465626587969,606.3031684454795,604.8567808238276
IEEE33,TP4,24,34368,692.7286463549116,695.4908801890019,691.3600629375456,687.2621221927185
IEEE33,TP4,25,34464,887.4122142719148,887.5652782519451,890.0139273567174,886.7383345755626
IEEE33,TP4,26,34560,517.6667928601847,515.5482073410797,520.096169179361,520.9200577590419
IEEE33,TP4,27,34656,408.90816866525967,410.40686228724763,411.46586669619245,413.97733497709095
IEEE33,TP4,28,34752,345.4649566826306,347.7616720869584,345.202533530871,342.10885225687645
IEEE33,TP4,29,34848,375.9215818950586,377.19501940619983,376.66611603732144,373.76128693302843
IEEE33,TP4,30,34944,471.9422702561524,488.8527871542868,477.0597132103626,474.16493958663733
IEEE33,TP5,0,32064,367.34724039899726,353.0410882025206,363.820076125711,356.61698139994513
IEEE33,TP5,1,32160,298.08602813388444,284.84639909387244,295.65236287340775,289.06341489881675
IEEE33,TP5,2,32256,517.0608241188189,510.81514241139257,516.3355166297141,509.3737684036189
IEEE33,TP5,3,32352,598.6325098266065,578.9681449812656,593.5580631252009,584.6717722277964
IEEE33,TP5,4,32448,775.6478503910944,782.1512348058283,773.5467362574645,776.6362975074563
IEEE33,TP5,5,32544,1372.6361645114164,1375.9016597660686,1380.9118538457178,1373.8613992504131
IEEE33,TP5,6,32640,1224.3994954531997,1228.6654612589537,1232.0276852822672,1225.2391054737607
IEEE33,TP5,7,32736,697.2559874944794,690.2458715203032,688.8639966306984,693.3729375065426
IEEE33,TP5,8,32832,443.1000764281759,421.99392419289234,434.0910172674624,431.8853068495618
IEEE33,TP5,9,32928,694.3855430548195,683.4973044119826,696.8050006294475,678.2447479770268
IEEE33,TP5,10,33024,817.7464706255886,819.626021327463,823.306539181301,804.1335928982277
IEEE33,TP5,11,33120,880.9565918770408,880.2824808090212,879.030759698161,875.9477655590313
IEEE33,TP5,12,33216,586.0807820313183,568.9462433902023,579.5601161221804,568.5112013490849
IEEE33,TP5,13,33312,782.9901284075426,779.4570408607727,784.3272106444457,786.2042072408561
IEEE33,TP5,14,33408,380.9984468550154,367.9277003197646,377.87307200958975,370.9358419068864
IEEE33,TP5,15,33504,339.4611083135858,336.09671541065376,332.59264007503134,333.78415329718547
IEEE33,TP5,16,33600,570.0213678538257,564.6290845626767,569.476455733548,564.7407836396235
IEEE33,TP5,17,33696,725.333923940113,723.6398271180357,719.8575031673422,716.3074389663624
IEEE33,TP5,18,33792,887.4530999223947,885.0897449333846,888.9401188501884,885.687817085682
IEEE33,TP5,19,33888,465.0384903382913,457.7804686610331,463.4067662081099,456.48948200555986
IEEE33,TP5,20,33984,434.2556277073286,433.11664299644536,434.62255120818804,428.0308836758038
IEEE33,TP5,21,34080,306.93431576933153,303.6889647769987,305.0445403105382,297.17716617855973
IEEE33,TP5,22,34176,243.44341919456954,241.75151344473878,243.17312502060574,235.26011735023346
IEEE33,TP5,23,34272,614.8173023944524,615.7095326531847,611.9718284349884,615.6789157974562
IEEE33,TP5,24,34368,698.8767413293657,699.5596892779955,697.0578463425268,695.2468373441151
IEEE33,TP5,25,34464,893.2229510850635,893.8499967183024,897.7690157952937,893.2228970278508
IEEE33,TP5,26,34560,528.6326223858176,519.6617749602332,526.6383462003746,519.5138039066546
IEEE33,TP5,27,34656,416.28693761422136,413.9335456867996,416.5784551742029,408.93781505750434
IEEE33,TP5,28,34752,346.36084318605225,350.15130207677976,346.5279443568831,345.22090592368414
IEEE33,TP5,29,34848,377.9122329805336,378.04797777187486,379.4185812606739,377.8973132180434
IEEE33,TP5,30,34944,478.5484422301009,491.457283001937,484.41213347992743,473.8801563990673
IEEE33,TP6,0,32064,366.57888931450844,354.5833479417049,364.73613766055377,355.2138539970794
IEEE33,TP6,1,32160,296.2060976337404,285.8125742973217,296.2759021140517,287.78682964731235
IEEE33,TP6,2,32256,515.7080821382484,513.7663385872457,518.0494653283174,506.25192055920434
IEEE33,TP6,3,32352,594.8858389098369,581.166157120642,594.9317698231815,579.2848569535191
IEEE33,TP6,4,32448,776.5002593994271,785.0868259462815,774.8465700945707,775.5255412397449
IEEE33,TP6,5,32544,1376.2264816391182,1380.5433427501712,1385.550425355467,1377.23365053374
IEEE33,TP6,6,32640,1228.1410866719732,1231.6070401562001,1235.1479827170742,1225.3495753391571
IEEE33,TP6,7,32736,698.2485362064808,692.5745838655321,690.936520902047,691.3357115224604
IEEE33,TP6,8,32832,443.77102271293023,420.9351701388341,435.093658469466,429.2778047162519
IEEE33,TP6,9,32928,692.0817760665019,684.0013614565282,699.9746999484131,676.7083553590595
IEEE33,TP6,10,33024,813.1649592867562,821.2888041641063,827.8550252306399,801.0063436898719
IEEE33,TP6,11,33120,880.9577930105437,881.9426189405012,881.3513160735379,871.2414122289892
IEEE33,TP6,12,33216,584.4917862408998,567.4212173493787,581.1337543577492,564.3415671092431
IEEE33,TP6,13,33312,785.0082910398284,780.9968139402232,785.8092478033345,785.0193467071462
IEEE33,TP6,14,33408,380.383373208263,370.5907178227025,379.10265924692067,370.5821451584572
IEEE33,TP6,15,33504,338.20234912874747,337.2924143480541,333.9313885424265,332.2446229357378
IEEE33,TP6,16,33600,565.6602121906794,566.090961639785,569.8639056858834,561.8042868388083
IEEE33,TP6,17,33696,722.7496460320796,723.1037747012551,721.1274551881997,713.8676019193422
IEEE33,TP6,18,33792,889.3884959613315,886.1189416998441,891.4117429006907,887.2168896976547
IEEE33,TP6,19,33888,463.5521943878746,461.1958976153899,463.9679950386196,453.39446456257497
IEEE33,TP6,20,33984,431.8652242220485,434.4697207753906,435.5253288015206,424.7037820118932
IEEE33,TP6,21,34080,306.7364326030805,303.31513060870594,305.972806204104,298.00395067386944
IEEE33,TP6,22,34176,242.78831932840248,241.26189843490738,243.63456144334847,236.00310440292478
IEEE33,TP6,23,34272,615.404924024375,618.5466494068559,612.8994927485552,614.3957814953889
IEEE33,TP6,24,34368,699.0477061809094,701.1148175715683,698.9823204463997,695.706504507693
IEEE33,TP6,25,34464,895.7674439703127,895.4095789304897,900.4805571818343,896.2959394601759
IEEE33,TP6,26,34560,526.0926902694229,522.2889757436486,527.8275319560903,514.5411833734591
IEEE33,TP6,27,34656,414.9570541992644,416.3906041128028,417.8389225192088,406.8783598370524
IEEE33,TP6,28,34752,346.9110371913955,351.45495673540216,347.269090594207,343.912252522782
IEEE33,TP6,29,34848,378.3708508831177,379.2138168569025,380.3969915228943,378.30656169064724
IEEE33,TP6,30,34944,480.2647307392001,493.2018920156308,486.58009807624074,473.7626064955957
IEEE33,TP7,0,32064,364.1151919121897,348.3874460774246,363.01329242004357,355.87830060195193
IEEE33,TP7,1,32160,295.56899185649837,280.4149805251888,295.11143341079725,288.9401447224953
IEEE33,TP7,2,32256,512.7464772353586,507.79015443414374,514.9891948258886,509.21437292080344
IEEE33,TP7,3,32352,593.5565701561046,573.9995944600939,592.5010787016599,587.5796323601963
IEEE33,TP7,4,32448,771.5745073938712,781.6442271140244,771.5605255264658,765.7685815998884
IEEE33,TP7,5,32544,1368.5250792143186,1373.782197222051,1376.8680580890361,1373.3050645852845
IEEE33,TP7,6,32640,1222.270759439473,1227.0099438331188,1228.2219391723434,1225.8470364991254
IEEE33,TP7,7,32736,695.4548054506864,691.2588960488051,687.1867925940987,688.5813208482217
IEEE33,TP7,8,32832,439.97155601657624,419.8166489540688,433.4799711629562,432.09212342289703
