feeder,topology_case,comparison,mlp_unique_keys,gnn_unique_keys,common_keys,mlp_only_keys,gnn_only_keys,aligned
IEEE33,TP1,gcn_vs_mlp,31,31,31,0,0,True
IEEE33,TP1,gat_vs_mlp,31,31,31,0,0,True
IEEE33,TP1,tagconv_vs_mlp,31,31,31,0,0,True
IEEE33,TP2,gcn_vs_mlp,31,31,31,0,0,True
IEEE33,TP2,gat_vs_mlp,31,31,31,0,0,True
IEEE33,TP2,tagconv_vs_mlp,31,31,31,0,0,True
IEEE33,TP3,gcn_vs_mlp,31,31,31,0,0,True
IEEE33,TP3,gat_vs_mlp,31,31,31,0,0,True
IEEE33,TP3,tagconv_vs_mlp,31,31,31,0,0,True
IEEE33,TP4,gcn_vs_mlp,31,31,31,0,0,True
IEEE33,TP4,gat_vs_mlp,31,31,31,0,0,True
IEEE33,TP4,tagconv_vs_mlp,31,31,31,0,0,True
IEEE33,TP5,gcn_vs_mlp,31,31,31,0,0,True
IEEE33,TP5,gat_vs_mlp,31,31,31,0,0,True
IEEE33,TP5,tagconv_vs_mlp,31,31,31,0,0,True
IEEE33,TP6,gcn_vs_mlp,31,31,31,0,0,True
IEEE33,TP6,gat_vs_mlp,31,31,31,0,0,True
IEEE33,TP6,tagconv_vs_mlp,31,31,31,0,0,True
IEEE33,TP7,gcn_vs_mlp,31,31,31,0,0,True
IEEE33,TP7,gat_vs_mlp,31,31,31,0,0,True
IEEE33,TP7,tagconv_vs_mlp,31,31,31,0,0,True
IEEE69,TP1,gcn_vs_mlp,31,31,31,0,0,True
IEEE69,TP1,gat_vs_mlp,31,31,31,0,0,True
IEEE69,TP1,tagconv_vs_mlp,31,31,31,0,0,True
IEEE69,TP2,gcn_vs_mlp,31,31,31,0,0,True
IEEE69,TP2,gat_vs_mlp,31,31,31,0,0,True
IEEE69,TP2,tagconv_vs_mlp,31,31,31,0,0,True
IEEE69,TP3,gcn_vs_mlp,31,31,31,0,0,True
IEEE69,TP3,gat_vs_mlp,31,31,31,0,0,True
IEEE69,TP3,tagconv_vs_mlp,31,31,31,0,0,True
IEEE69,TP4,gcn_vs_mlp,31,31,31,0,0,True
IEEE69,TP4,gat_vs_mlp,31,31,31,0,0,True
IEEE69,TP4,tagconv_vs_mlp,31,31,31,0,0,True
IEEE69,TP5,gcn_vs_mlp,31,31,31,0,0,True
IEEE69,TP5,gat_vs_mlp,31,31,31,0,0,True
IEEE69,TP5,tagconv_vs_mlp,31,31,31,0,0,True
IEEE69,TP6,gcn_vs_mlp,31,31,31,0,0,True
IEEE69,TP6,gat_vs_mlp,31,31,31,0,0,True
IEEE69,TP6,tagconv_vs_mlp,31,31,31,0,0,True
IEEE69,TP7,gcn_vs_mlp,31,31,31,0,0,True
IEEE69,TP7,gat_vs_mlp,31,31,31,0,0,True
IEEE69,TP7,tagconv_vs_mlp,31,31,31,0,0,True
IEEE69,TP8,gcn_vs_mlp,31,31,31,0,0,True
IEEE69,TP8,gat_vs_mlp,31,31,31,0,0,True
IEEE69,TP8,tagconv_vs_mlp,31,31,31,0,0,True
IEEE69,TP9,gcn_vs_mlp,31,31,31,0,0,True
IEEE69,TP9,gat_vs_mlp,31,31,31,0,0,True
IEEE69,TP9,tagconv_vs_mlp,31,31,31,0,0,True
