topology_case,controller,episode_id,step,date_time,start_index,scenario_time_index,reward_mean,reward_sum,grid_import_kw,grid_import_mwh,energy_cost,curtailment_kw,curtailment_mwh,voltage_deviation,grid_stress,min_voltage_pu,max_voltage_pu,max_line_current_pu,max_voltage_violation,max_line_current_violation,feasible,converged,infeasible_action,throughput_mwh,solver_status,objective_value,solve_time_sec,smpc_network_feasible,smpc_network_corrected,smpc_correction_attempts,smpc_check_topology_case,smpc_check_worst_min_voltage_pu,smpc_check_worst_max_voltage_pu,smpc_check_worst_line_current_pu,smpc_check_max_voltage_violation,smpc_check_max_line_current_violation,requested_action_agent_0,accepted_action_agent_0,dess_power_kw_agent_0,soc_agent_0,beta_ch_kw_agent_0,beta_dis_kw_agent_0,requested_action_agent_1,accepted_action_agent_1,dess_power_kw_agent_1,soc_agent_1,beta_ch_kw_agent_1,beta_dis_kw_agent_1,requested_action_agent_2,accepted_action_agent_2,dess_power_kw_agent_2,soc_agent_2,beta_ch_kw_agent_2,beta_dis_kw_agent_2,requested_action_agent_3,accepted_action_agent_3,dess_power_kw_agent_3,soc_agent_3,beta_ch_kw_agent_3,beta_dis_kw_agent_3,requested_action_agent_4,accepted_action_agent_4,dess_power_kw_agent_4,soc_agent_4,beta_ch_kw_agent_4,beta_dis_kw_agent_4,requested_horizon,available_horizon,n_scenarios,controller_decision_time_s,controller_decision_time_ms,solver_time_s,solver_time_ms,non_solver_overhead_time_ms,control_interval_s,time_fraction_of_control_interval
TP1,mpc,0,0,2018-12-01 00:00:00+00:00,32064,0,-6.753451824188232,-33.76725912094116,485.85229006948794,0.12146307251737198,4.927756852029781,0.0,0.0,0.30707865953445435,0.0,0.9811621904373169,1.0,0.729897677898407,0.0,0.0,True,True,False,0.09375,optimal,143.3561534017354,1.190354347229004,True,False,0,TP1,0.9816359877586365,1.0,0.5530158281326294,0.0,0.0,1.0,1.0,75.0,0.4605263157894737,0.0,75.0,1.0,1.0,75.0,0.4605263157894737,0.0,75.0,1.0,1.0,75.0,0.4605263157894737,0.0,75.0,1.0,1.0,75.0,0.4605263157894737,0.0,75.0,1.0,1.0,75.0,0.4605263157894737,0.0,75.0,24,24,1,61.511340059,61511.340059,1.190354347229004,1190.354347229004,60320.985711771,900.0,0.06834593339888889
TP1,mpc,0,1,2018-12-01 00:15:00+00:00,32064,1,-6.7023420333862305,-33.51171016693115,478.43862432455353,0.11960965608113838,4.852563747211784,0.0,0.0,0.3027324676513672,0.0,0.9814043641090393,1.0,0.7211126685142517,0.0,0.0,True,True,False,0.09375,optimal,145.2671286770693,0.016028881072998047,True,False,0,TP1,0.9820334315299988,1.0,0.5386717915534973,0.0,0.0,1.0,1.0,75.0,0.42105263157894735,0.0,75.0,1.0,1.0,75.0,0.42105263157894735,0.0,75.0,1.0,1.0,75.0,0.42105263157894735,0.0,75.0,1.0,1.0,75.0,0.42105263157894735,0.0,75.0,1.0,1.0,75.0,0.42105263157894735,0.0,75.0,24,24,1,0.035823305,35.823305,0.016028881072998047,16.028881072998047,19.794423927001954,900.0,3.980367222222222e-05
TP1,mpc,0,2,2018-12-01 00:30:00+00:00,32064,2,-6.582049369812012,-32.91024684906006,469.74364237371447,0.11743591059342862,4.764374892775399,0.0,0.0,0.29838836193084717,0.0,0.981667697429657,1.0,0.7109360694885254,0.0,0.0,True,True,False,0.09375,optimal,147.3142658185395,0.024957656860351562,True,False,0,TP1,0.9822913408279419,1.0,0.5302572846412659,0.0,0.0,1.0,1.0,75.0,0.381578947368421,0.0,75.0,1.0,1.0,75.0,0.381578947368421,0.0,75.0,1.0,1.0,75.0,0.381578947368421,0.0,75.0,1.0,1.0,75.0,0.381578947368421,0.0,75.0,1.0,1.0,75.0,0.381578947368421,0.0,75.0,24,24,1,0.040908425,40.908425,0.024957656860351562,24.957656860351562,15.950768139648435,900.0,4.5453805555555556e-05
TP1,mpc,0,3,2018-12-01 00:45:00+00:00,32064,3,-6.504347801208496,-32.52173900604248,464.1687796556653,0.11604219491391632,4.707831847657585,0.0,0.0,0.29516124725341797,0.0,0.9818786978721619,1.0,0.7043099999427795,0.0,0.0,True,True,False,0.09375,optimal,149.41454583091314,0.019681692123413086,True,False,0,TP1,0.9825347065925598,1.0,0.5219167470932007,0.0,0.0,1.0,1.0,75.0,0.3421052631578947,0.0,75.0,1.0,1.0,75.0,0.3421052631578947,0.0,75.0,1.0,1.0,75.0,0.3421052631578947,0.0,75.0,1.0,1.0,75.0,0.3421052631578947,0.0,75.0,1.0,1.0,75.0,0.3421052631578947,0.0,75.0,24,24,1,0.036793845,36.793845,0.019681692123413086,19.681692123413086,17.11215287658691,900.0,4.0882049999999996e-05
TP1,mpc,0,4,2018-12-01 01:00:00+00:00,32064,4,-5.983004093170166,-29.91502046585083,458.86961641099333,0.11471740410274833,4.309932872140255,0.0,0.0,0.2920266389846802,0.0,0.9820757508277893,1.0,0.6979515552520752,0.0,0.0,True,True,False,0.09375,optimal,151.64631691837448,0.019872188568115234,True,False,0,TP1,0.9827445149421692,1.0,0.5161705613136292,0.0,0.0,1.0,1.0,75.0,0.30263157894736836,0.0,75.0,1.0,1.0,75.0,0.30263157894736836,0.0,75.0,1.0,1.0,75.0,0.30263157894736836,0.0,75.0,1.0,1.0,75.0,0.30263157894736836,0.0,75.0,1.0,1.0,75.0,0.30263157894736836,0.0,75.0,24,24,1,0.035651935,35.651935,0.019872188568115234,19.872188568115234,15.779746431884769,900.0,3.9613261111111115e-05
TP1,mpc,0,5,2018-12-01 01:15:00+00:00,32064,5,-5.858867645263672,-29.29433822631836,449.23710102239056,0.11230927525559764,4.2194594713528035,0.0,0.0,0.28701019287109375,0.0,0.9823959469795227,1.0,0.6867847442626953,0.0,0.0,True,True,False,0.09375,optimal,154.80926709302898,0.013830423355102539,True,False,0,TP1,0.983037531375885,1.0,0.5075186491012573,0.0,0.0,1.0,1.0,75.0,0.26315789473684204,0.0,75.0,1.0,1.0,75.0,0.26315789473684204,0.0,75.0,1.0,1.0,75.0,0.26315789473684204,0.0,75.0,1.0,1.0,75.0,0.26315789473684204,0.0,75.0,1.0,1.0,75.0,0.26315789473684204,0.0,75.0,24,24,1,0.029910074,29.910073999999998,0.013830423355102539,13.830423355102539,16.07965064489746,900.0,3.3233415555555554e-05
TP1,mpc,0,6,2018-12-01 01:30:00+00:00,32064,6,-5.772708415985107,-28.863542079925537,442.595005600424,0.110648751400106,4.157073590101982,0.0,0.0,0.28311973810195923,0.0,0.9826544523239136,1.0,0.6789807677268982,0.0,0.0,True,True,False,0.09375,optimal,158.06325811848873,0.017138957977294922,True,False,0,TP1,0.9833053350448608,1.0,0.49944910407066345,0.0,0.0,1.0,1.0,75.0,0.2236842105263157,0.0,75.0,1.0,1.0,75.0,0.2236842105263157,0.0,75.0,1.0,1.0,75.0,0.2236842105263157,0.0,75.0,1.0,1.0,75.0,0.2236842105263157,0.0,75.0,1.0,1.0,75.0,0.2236842105263157,0.0,75.0,24,24,1,0.032361496,32.361495999999995,0.017138957977294922,17.138957977294922,15.222538022705075,900.0,3.5957217777777773e-05
TP1,mpc,0,7,2018-12-01 01:45:00+00:00,32064,7,-5.690707683563232,-28.453538417816162,436.2757989626971,0.10906894974067427,4.097720441757132,0.0,0.0,0.27939558029174805,0.0,0.9829005002975464,1.0,0.6715377569198608,0.0,0.0,True,True,False,0.09375,optimal,159.64422480021983,0.01627206802368164,True,False,0,TP1,0.9835852384567261,1.0,0.49168989062309265,0.0,0.0,1.0,1.0,75.0,0.18421052631578938,0.0,75.0,1.0,1.0,75.0,0.18421052631578938,0.0,75.0,1.0,1.0,75.0,0.18421052631578938,0.0,75.0,1.0,1.0,75.0,0.18421052631578938,0.0,75.0,1.0,1.0,75.0,0.18421052631578938,0.0,75.0,24,24,1,0.033586907,33.586907,0.01627206802368164,16.27206802368164,17.31483897631836,900.0,3.731878555555555e-05
TP1,mpc,0,8,2018-12-01 02:00:00+00:00,32064,8,-10.050317764282227,-50.25158882141113,810.144648144842,0.2025361620362105,7.250794600896335,0.0,0.0,0.4401053190231323,0.0,0.9736450910568237,1.0,0.9572001099586487,0.0,0.0,True,True,False,0.0,optimal,158.49955432972695,0.02367377281188965,True,False,0,TP1,0.9743064641952515,1.0,0.8396751880645752,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,24,24,1,0.03946273,39.46273,0.02367377281188965,23.67377281188965,15.788957188110352,900.0,4.384747777777778e-05
TP1,mpc,0,9,2018-12-01 02:15:00+00:00,32064,9,-9.922880172729492,-49.61440086364746,804.066726736437,0.20101668168410924,7.19639720429111,0.0,0.0,0.4365878105163574,0.0,0.9738766551017761,1.0,0.949785590171814,0.0,0.0,True,True,False,0.0,optimal,151.31315785225388,0.016153335571289062,True,False,0,TP1,0.9745481014251709,1.0,0.8321898579597473,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,24,24,1,0.031658633,31.658633,0.016153335571289062,16.153335571289062,15.505297428710936,900.0,3.5176258888888886e-05
