topology_case,controller,episode_id,step,date_time,start_index,scenario_time_index,reward_mean,reward_sum,grid_import_kw,grid_import_mwh,energy_cost,curtailment_kw,curtailment_mwh,voltage_deviation,grid_stress,min_voltage_pu,max_voltage_pu,max_line_current_pu,max_voltage_violation,max_line_current_violation,feasible,converged,infeasible_action,throughput_mwh,solver_status,objective_value,solve_time_sec,smpc_network_feasible,smpc_network_corrected,smpc_correction_attempts,smpc_check_topology_case,smpc_check_worst_min_voltage_pu,smpc_check_worst_max_voltage_pu,smpc_check_worst_line_current_pu,smpc_check_max_voltage_violation,smpc_check_max_line_current_violation,requested_action_agent_0,accepted_action_agent_0,dess_power_kw_agent_0,soc_agent_0,beta_ch_kw_agent_0,beta_dis_kw_agent_0,requested_action_agent_1,accepted_action_agent_1,dess_power_kw_agent_1,soc_agent_1,beta_ch_kw_agent_1,beta_dis_kw_agent_1,requested_action_agent_2,accepted_action_agent_2,dess_power_kw_agent_2,soc_agent_2,beta_ch_kw_agent_2,beta_dis_kw_agent_2,requested_action_agent_3,accepted_action_agent_3,dess_power_kw_agent_3,soc_agent_3,beta_ch_kw_agent_3,beta_dis_kw_agent_3,requested_action_agent_4,accepted_action_agent_4,dess_power_kw_agent_4,soc_agent_4,beta_ch_kw_agent_4,beta_dis_kw_agent_4,requested_horizon,available_horizon,n_scenarios,controller_decision_time_s,controller_decision_time_ms,solver_time_s,solver_time_ms,non_solver_overhead_time_ms,control_interval_s,time_fraction_of_control_interval
TP1,smpc,0,0,2018-12-01 00:00:00+00:00,32064,0,-6.753451824188232,-33.76725912094116,485.85229006948794,0.12146307251737198,4.927756852029781,0.0,0.0,0.30707865953445435,0.0,0.9811621904373169,1.0,0.729897677898407,0.0,0.0,True,True,False,0.09375,optimal,131.34644628552851,0.3296349048614502,True,False,0,TP1,0.9818897843360901,1.0,0.5327693819999695,0.0,0.0,1.0,1.0,75.0,0.4605263157894737,0.0,75.0,1.0,1.0,75.0,0.4605263157894737,0.0,75.0,1.0,1.0,75.0,0.4605263157894737,0.0,75.0,1.0,1.0,75.0,0.4605263157894737,0.0,75.0,1.0,1.0,75.0,0.4605263157894737,0.0,75.0,24,24,10,0.387715356,387.715356,0.3296349048614502,329.6349048614502,58.08045113854982,900.0,0.00043079484000000003
TP1,smpc,0,1,2018-12-01 00:15:00+00:00,32064,1,-6.7023420333862305,-33.51171016693115,478.43862432455353,0.11960965608113838,4.852563747211784,0.0,0.0,0.3027324676513672,0.0,0.9814043641090393,1.0,0.7211126685142517,0.0,0.0,True,True,False,0.09375,optimal,133.2135874687836,0.16917991638183594,True,False,0,TP1,0.9824733138084412,1.0,0.5099111795425415,0.0,0.0,1.0,1.0,75.0,0.42105263157894735,0.0,75.0,1.0,1.0,75.0,0.42105263157894735,0.0,75.0,1.0,1.0,75.0,0.42105263157894735,0.0,75.0,1.0,1.0,75.0,0.42105263157894735,0.0,75.0,1.0,1.0,75.0,0.42105263157894735,0.0,75.0,24,24,10,0.219966805,219.966805,0.16917991638183594,169.17991638183594,50.78688861816405,900.0,0.0002444075611111111
TP1,smpc,0,2,2018-12-01 00:30:00+00:00,32064,2,-6.582049369812012,-32.91024684906006,469.74364237371447,0.11743591059342862,4.764374892775399,0.0,0.0,0.29838836193084717,0.0,0.981667697429657,1.0,0.7109360694885254,0.0,0.0,True,True,False,0.09375,optimal,135.28734309359015,0.19899559020996094,True,False,0,TP1,0.9825617671012878,1.0,0.4971840977668762,0.0,0.0,1.0,1.0,75.0,0.381578947368421,0.0,75.0,1.0,1.0,75.0,0.381578947368421,0.0,75.0,1.0,1.0,75.0,0.381578947368421,0.0,75.0,1.0,1.0,75.0,0.381578947368421,0.0,75.0,1.0,1.0,75.0,0.381578947368421,0.0,75.0,24,24,10,0.273738667,273.73866699999996,0.19899559020996094,198.99559020996094,74.74307679003905,900.0,0.0003041540744444444
TP1,smpc,0,3,2018-12-01 00:45:00+00:00,32064,3,-6.504347801208496,-32.52173900604248,464.1687796556653,0.11604219491391632,4.707831847657585,0.0,0.0,0.29516124725341797,0.0,0.9818786978721619,1.0,0.7043099999427795,0.0,0.0,True,True,False,0.09375,optimal,137.4465647781791,0.1727161407470703,True,False,0,TP1,0.9831767678260803,1.0,0.4914202392101288,0.0,0.0,1.0,1.0,75.0,0.3421052631578947,0.0,75.0,1.0,1.0,75.0,0.3421052631578947,0.0,75.0,1.0,1.0,75.0,0.3421052631578947,0.0,75.0,1.0,1.0,75.0,0.3421052631578947,0.0,75.0,1.0,1.0,75.0,0.3421052631578947,0.0,75.0,24,24,10,0.221749576,221.749576,0.1727161407470703,172.7161407470703,49.03343525292969,900.0,0.00024638841777777776
TP1,smpc,0,4,2018-12-01 01:00:00+00:00,32064,4,-5.983004093170166,-29.91502046585083,458.86961641099333,0.11471740410274833,4.309932872140255,0.0,0.0,0.2920266389846802,0.0,0.9820757508277893,1.0,0.6979515552520752,0.0,0.0,True,True,False,0.09375,optimal,139.82045575318136,0.16473746299743652,True,False,0,TP1,0.9833795428276062,1.0,0.48462218046188354,0.0,0.0,1.0,1.0,75.0,0.30263157894736836,0.0,75.0,1.0,1.0,75.0,0.30263157894736836,0.0,75.0,1.0,1.0,75.0,0.30263157894736836,0.0,75.0,1.0,1.0,75.0,0.30263157894736836,0.0,75.0,1.0,1.0,75.0,0.30263157894736836,0.0,75.0,24,24,10,0.207176366,207.176366,0.16473746299743652,164.73746299743652,42.43890300256348,900.0,0.00023019596222222222
TP1,smpc,0,5,2018-12-01 01:15:00+00:00,32064,5,-5.858867645263672,-29.29433822631836,449.23710102239056,0.11230927525559764,4.2194594713528035,0.0,0.0,0.28701019287109375,0.0,0.9823959469795227,1.0,0.6867847442626953,0.0,0.0,True,True,False,0.09375,optimal,143.07437312543578,0.15294551849365234,True,False,0,TP1,0.9833064079284668,1.0,0.4841390550136566,0.0,0.0,1.0,1.0,75.0,0.26315789473684204,0.0,75.0,1.0,1.0,75.0,0.26315789473684204,0.0,75.0,1.0,1.0,75.0,0.26315789473684204,0.0,75.0,1.0,1.0,75.0,0.26315789473684204,0.0,75.0,1.0,1.0,75.0,0.26315789473684204,0.0,75.0,24,24,10,0.195909775,195.909775,0.15294551849365234,152.94551849365234,42.96425650634767,900.0,0.00021767752777777778
TP1,smpc,0,6,2018-12-01 01:30:00+00:00,32064,6,-5.772708415985107,-28.863542079925537,442.595005600424,0.110648751400106,4.157073590101982,0.0,0.0,0.28311973810195923,0.0,0.9826544523239136,1.0,0.6789807677268982,0.0,0.0,True,True,False,0.09375,optimal,146.1931681111376,0.13988065719604492,True,False,0,TP1,0.9837527275085449,1.0,0.47357866168022156,0.0,0.0,1.0,1.0,75.0,0.2236842105263157,0.0,75.0,1.0,1.0,75.0,0.2236842105263157,0.0,75.0,1.0,1.0,75.0,0.2236842105263157,0.0,75.0,1.0,1.0,75.0,0.2236842105263157,0.0,75.0,1.0,1.0,75.0,0.2236842105263157,0.0,75.0,24,24,10,0.189022106,189.022106,0.13988065719604492,139.88065719604492,49.14144880395507,900.0,0.0002100245622222222
TP1,smpc,0,7,2018-12-01 01:45:00+00:00,32064,7,-5.690707683563232,-28.453538417816162,436.2757989626971,0.10906894974067427,4.097720441757132,0.0,0.0,0.27939558029174805,0.0,0.9829005002975464,1.0,0.6715377569198608,0.0,0.0,True,True,False,0.09375,optimal,147.03254290380627,0.17509746551513672,True,False,0,TP1,0.9840787649154663,1.0,0.47093379497528076,0.0,0.0,1.0,1.0,75.0,0.18421052631578938,0.0,75.0,1.0,1.0,75.0,0.18421052631578938,0.0,75.0,1.0,1.0,75.0,0.18421052631578938,0.0,75.0,1.0,1.0,75.0,0.18421052631578938,0.0,75.0,1.0,1.0,75.0,0.18421052631578938,0.0,75.0,24,24,10,0.226159774,226.159774,0.17509746551513672,175.09746551513672,51.06230848486329,900.0,0.0002512886377777778
TP1,smpc,0,8,2018-12-01 02:00:00+00:00,32064,8,-10.050317764282227,-50.25158882141113,810.144648144842,0.2025361620362105,7.250794600896335,0.0,0.0,0.4401053190231323,0.0,0.9736450910568237,1.0,0.9572001099586487,0.0,0.0,True,True,False,0.0,optimal,146.1182536929208,0.1423187255859375,True,False,0,TP1,0.9742480516433716,1.0,0.8152718544006348,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,24,24,10,0.186609765,186.609765,0.1423187255859375,142.3187255859375,44.29103941406251,900.0,0.00020734418333333334
TP1,smpc,0,9,2018-12-01 02:15:00+00:00,32064,9,-9.922880172729492,-49.61440086364746,804.066726736437,0.20101668168410924,7.19639720429111,0.0,0.0,0.4365878105163574,0.0,0.9738766551017761,1.0,0.949785590171814,0.0,0.0,True,True,False,0.0,optimal,139.32585038491925,0.12486481666564941,True,False,0,TP1,0.9748794436454773,1.0,0.8081426024436951,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,24,24,10,0.167846662,167.846662,0.12486481666564941,124.86481666564941,42.981845334350595,900.0,0.00018649629111111113
