topology_case,controller,episode_id,step,date_time,start_index,scenario_time_index,reward_mean,reward_sum,grid_import_kw,grid_import_mwh,energy_cost,curtailment_kw,curtailment_mwh,voltage_deviation,grid_stress,min_voltage_pu,max_voltage_pu,max_line_current_pu,max_voltage_violation,max_line_current_violation,feasible,converged,infeasible_action,throughput_mwh,solver_status,objective_value,solve_time_sec,smpc_network_feasible,smpc_network_corrected,smpc_correction_attempts,smpc_check_topology_case,smpc_check_worst_min_voltage_pu,smpc_check_worst_max_voltage_pu,smpc_check_worst_line_current_pu,smpc_check_max_voltage_violation,smpc_check_max_line_current_violation,requested_action_agent_0,accepted_action_agent_0,dess_power_kw_agent_0,soc_agent_0,beta_ch_kw_agent_0,beta_dis_kw_agent_0,requested_action_agent_1,accepted_action_agent_1,dess_power_kw_agent_1,soc_agent_1,beta_ch_kw_agent_1,beta_dis_kw_agent_1,requested_action_agent_2,accepted_action_agent_2,dess_power_kw_agent_2,soc_agent_2,beta_ch_kw_agent_2,beta_dis_kw_agent_2,requested_action_agent_3,accepted_action_agent_3,dess_power_kw_agent_3,soc_agent_3,beta_ch_kw_agent_3,beta_dis_kw_agent_3,requested_action_agent_4,accepted_action_agent_4,dess_power_kw_agent_4,soc_agent_4,beta_ch_kw_agent_4,beta_dis_kw_agent_4,warmup_excluded,requested_horizon,available_horizon,n_scenarios,controller_decision_time_s,controller_decision_time_ms,solver_time_s,solver_time_ms,non_solver_overhead_time_ms,control_interval_s,time_fraction_of_control_interval
TP1,mpc,0,0,2018-12-01 00:00:00+00:00,32064,0,-6.753451824188232,-33.76725912094116,485.85229006948794,0.12146307251737198,4.927756852029781,0.0,0.0,0.30707865953445435,0.0,0.9811621904373169,1.0,0.729897677898407,0.0,0.0,True,True,False,0.09375,optimal,143.3561534017354,0.018976688385009766,True,False,0,TP1,0.9816359877586365,1.0,0.5530158281326294,0.0,0.0,1.0,1.0,75.0,0.4605263157894737,0.0,75.0,1.0,1.0,75.0,0.4605263157894737,0.0,75.0,1.0,1.0,75.0,0.4605263157894737,0.0,75.0,1.0,1.0,75.0,0.4605263157894737,0.0,75.0,1.0,1.0,75.0,0.4605263157894737,0.0,75.0,True,24,24,1,0.034590288,34.590287999999994,0.018976688385009766,18.976688385009766,15.613599614990232,900.0,3.843365333333333e-05
TP1,mpc,0,1,2018-12-01 00:15:00+00:00,32064,1,-6.7023420333862305,-33.51171016693115,478.43862432455353,0.11960965608113838,4.852563747211784,0.0,0.0,0.3027324676513672,0.0,0.9814043641090393,1.0,0.7211126685142517,0.0,0.0,True,True,False,0.09375,optimal,145.2671286770693,0.031758785247802734,True,False,0,TP1,0.9820334315299988,1.0,0.5386717915534973,0.0,0.0,1.0,1.0,75.0,0.42105263157894735,0.0,75.0,1.0,1.0,75.0,0.42105263157894735,0.0,75.0,1.0,1.0,75.0,0.42105263157894735,0.0,75.0,1.0,1.0,75.0,0.42105263157894735,0.0,75.0,1.0,1.0,75.0,0.42105263157894735,0.0,75.0,True,24,24,1,0.046966462,46.966462,0.031758785247802734,31.758785247802734,15.207676752197266,900.0,5.218495777777778e-05
TP1,mpc,0,2,2018-12-01 00:30:00+00:00,32064,2,-6.582049369812012,-32.91024684906006,469.74364237371447,0.11743591059342862,4.764374892775399,0.0,0.0,0.29838836193084717,0.0,0.981667697429657,1.0,0.7109360694885254,0.0,0.0,True,True,False,0.09375,optimal,147.3142658185395,0.021793842315673828,True,False,0,TP1,0.9822913408279419,1.0,0.5302572846412659,0.0,0.0,1.0,1.0,75.0,0.381578947368421,0.0,75.0,1.0,1.0,75.0,0.381578947368421,0.0,75.0,1.0,1.0,75.0,0.381578947368421,0.0,75.0,1.0,1.0,75.0,0.381578947368421,0.0,75.0,1.0,1.0,75.0,0.381578947368421,0.0,75.0,True,24,24,1,0.037042231,37.042231,0.021793842315673828,21.793842315673828,15.248388684326173,900.0,4.115803444444445e-05
TP1,mpc,0,3,2018-12-01 00:45:00+00:00,32064,3,-6.504347801208496,-32.52173900604248,464.1687796556653,0.11604219491391632,4.707831847657585,0.0,0.0,0.29516124725341797,0.0,0.9818786978721619,1.0,0.7043099999427795,0.0,0.0,True,True,False,0.09375,optimal,149.41454583091314,0.02313399314880371,True,False,0,TP1,0.9825347065925598,1.0,0.5219167470932007,0.0,0.0,1.0,1.0,75.0,0.3421052631578947,0.0,75.0,1.0,1.0,75.0,0.3421052631578947,0.0,75.0,1.0,1.0,75.0,0.3421052631578947,0.0,75.0,1.0,1.0,75.0,0.3421052631578947,0.0,75.0,1.0,1.0,75.0,0.3421052631578947,0.0,75.0,True,24,24,1,0.038443797,38.443797,0.02313399314880371,23.13399314880371,15.30980385119629,900.0,4.271533e-05
TP1,mpc,0,4,2018-12-01 01:00:00+00:00,32064,4,-5.983004093170166,-29.91502046585083,458.86961641099333,0.11471740410274833,4.309932872140255,0.0,0.0,0.2920266389846802,0.0,0.9820757508277893,1.0,0.6979515552520752,0.0,0.0,True,True,False,0.09375,optimal,151.64631691837448,0.01978611946105957,True,False,0,TP1,0.9827445149421692,1.0,0.5161705613136292,0.0,0.0,1.0,1.0,75.0,0.30263157894736836,0.0,75.0,1.0,1.0,75.0,0.30263157894736836,0.0,75.0,1.0,1.0,75.0,0.30263157894736836,0.0,75.0,1.0,1.0,75.0,0.30263157894736836,0.0,75.0,1.0,1.0,75.0,0.30263157894736836,0.0,75.0,True,24,24,1,0.041048478,41.048478,0.01978611946105957,19.78611946105957,21.26235853894043,900.0,4.560942e-05
TP1,mpc,0,5,2018-12-01 01:15:00+00:00,32064,5,-5.858867645263672,-29.29433822631836,449.23710102239056,0.11230927525559764,4.2194594713528035,0.0,0.0,0.28701019287109375,0.0,0.9823959469795227,1.0,0.6867847442626953,0.0,0.0,True,True,False,0.09375,optimal,154.80926709302898,0.013505697250366211,True,False,0,TP1,0.983037531375885,1.0,0.5075186491012573,0.0,0.0,1.0,1.0,75.0,0.26315789473684204,0.0,75.0,1.0,1.0,75.0,0.26315789473684204,0.0,75.0,1.0,1.0,75.0,0.26315789473684204,0.0,75.0,1.0,1.0,75.0,0.26315789473684204,0.0,75.0,1.0,1.0,75.0,0.26315789473684204,0.0,75.0,True,24,24,1,0.028779093,28.779093,0.013505697250366211,13.505697250366211,15.273395749633787,900.0,3.197677e-05
TP1,mpc,0,6,2018-12-01 01:30:00+00:00,32064,6,-5.772708415985107,-28.863542079925537,442.595005600424,0.110648751400106,4.157073590101982,0.0,0.0,0.28311973810195923,0.0,0.9826544523239136,1.0,0.6789807677268982,0.0,0.0,True,True,False,0.09375,optimal,158.06325811848873,0.033172607421875,True,False,0,TP1,0.9833053350448608,1.0,0.49944910407066345,0.0,0.0,1.0,1.0,75.0,0.2236842105263157,0.0,75.0,1.0,1.0,75.0,0.2236842105263157,0.0,75.0,1.0,1.0,75.0,0.2236842105263157,0.0,75.0,1.0,1.0,75.0,0.2236842105263157,0.0,75.0,1.0,1.0,75.0,0.2236842105263157,0.0,75.0,True,24,24,1,0.049833448,49.833448000000004,0.033172607421875,33.172607421875,16.660840578125004,900.0,5.537049777777778e-05
TP1,mpc,0,7,2018-12-01 01:45:00+00:00,32064,7,-5.690707683563232,-28.453538417816162,436.2757989626971,0.10906894974067427,4.097720441757132,0.0,0.0,0.27939558029174805,0.0,0.9829005002975464,1.0,0.6715377569198608,0.0,0.0,True,True,False,0.09375,optimal,159.64422480021983,0.02050018310546875,True,False,0,TP1,0.9835852384567261,1.0,0.49168989062309265,0.0,0.0,1.0,1.0,75.0,0.18421052631578938,0.0,75.0,1.0,1.0,75.0,0.18421052631578938,0.0,75.0,1.0,1.0,75.0,0.18421052631578938,0.0,75.0,1.0,1.0,75.0,0.18421052631578938,0.0,75.0,1.0,1.0,75.0,0.18421052631578938,0.0,75.0,True,24,24,1,0.036658708,36.658708,0.02050018310546875,20.50018310546875,16.158524894531247,900.0,4.073189777777778e-05
TP1,mpc,0,8,2018-12-01 02:00:00+00:00,32064,8,-10.050317764282227,-50.25158882141113,810.144648144842,0.2025361620362105,7.250794600896335,0.0,0.0,0.4401053190231323,0.0,0.9736450910568237,1.0,0.9572001099586487,0.0,0.0,True,True,False,0.0,optimal,158.49955432972695,0.019294023513793945,True,False,0,TP1,0.9743064641952515,1.0,0.8396751880645752,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,True,24,24,1,0.037666795,37.666795,0.019294023513793945,19.294023513793945,18.37277148620606,900.0,4.185199444444445e-05
TP1,mpc,0,9,2018-12-01 02:15:00+00:00,32064,9,-9.922880172729492,-49.61440086364746,804.066726736437,0.20101668168410924,7.19639720429111,0.0,0.0,0.4365878105163574,0.0,0.9738766551017761,1.0,0.949785590171814,0.0,0.0,True,True,False,0.0,optimal,151.31315785225388,0.020310163497924805,True,False,0,TP1,0.9745481014251709,1.0,0.8321898579597473,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,True,24,24,1,0.036927293,36.927293,0.020310163497924805,20.310163497924805,16.617129502075194,900.0,4.1030325555555555e-05
