topology_case,policy,episode_id,step,date_time,start_index,reward_mean,reward_sum,grid_import_kw,grid_import_mwh,energy_cost,curtailment_kw,curtailment_mwh,voltage_deviation,grid_stress,min_voltage_pu,max_voltage_pu,max_line_current_pu,max_voltage_violation,max_line_current_violation,feasible,converged,infeasible_action,throughput_mwh,requested_action_agent_0,accepted_action_agent_0,dess_power_kw_agent_0,soc_agent_0,requested_action_agent_1,accepted_action_agent_1,dess_power_kw_agent_1,soc_agent_1,requested_action_agent_2,accepted_action_agent_2,dess_power_kw_agent_2,soc_agent_2,requested_action_agent_3,accepted_action_agent_3,dess_power_kw_agent_3,soc_agent_3,requested_action_agent_4,accepted_action_agent_4,dess_power_kw_agent_4,soc_agent_4
TP6,maddpg,0,0,2018-12-01 00:00:00+00:00,32064,-13.888400650024414,-69.44200325012207,994.3201089022295,0.2485800272255574,10.084891704540864,0.0,0.0,0.6247525215148926,0.0,0.9613021612167358,1.0,1.2590417861938477,0.0,0.0,True,True,False,0.09375,-1.0,-1.0,-75.0,0.535625,1.0,1.0,75.0,0.4605263157894737,1.0,1.0,75.0,0.4605263157894737,1.0,1.0,75.0,0.4605263157894737,1.0,1.0,75.0,0.4605263157894737
TP6,maddpg,0,1,2018-12-01 00:15:00+00:00,32064,-13.770596122741699,-68.8529806137085,983.570030568444,0.245892507642111,9.975859035040443,0.0,0.0,0.6165569424629211,0.0,0.9619412422180176,1.0,1.2459510564804077,0.0,0.0,True,True,False,0.09375,-1.0,-1.0,-75.0,0.57125,1.0,1.0,75.0,0.42105263157894735,1.0,1.0,75.0,0.42105263157894735,1.0,1.0,75.0,0.42105263157894735,1.0,1.0,75.0,0.42105263157894735
TP6,maddpg,0,2,2018-12-01 00:30:00+00:00,32064,-13.596927452087403,-67.98463726043701,971.113120979453,0.24277828024486325,9.849514829534103,0.0,0.0,0.6093097925186157,0.0,0.9624353647232056,1.0,1.2309256792068481,0.0,0.0,True,True,False,0.09375,-1.0,-1.0,-75.0,0.606875,1.0,1.0,75.0,0.381578947368421,1.0,1.0,75.0,0.381578947368421,1.0,1.0,75.0,0.381578947368421,1.0,1.0,75.0,0.381578947368421
TP6,maddpg,0,3,2018-12-01 00:45:00+00:00,32064,-13.484689521789551,-67.42344760894775,963.1116649788964,0.2407779162447241,9.768360062048457,0.0,0.0,0.6041277647018433,0.0,0.9627797603607178,1.0,1.221153736114502,0.0,0.0,True,True,False,0.09375,-1.0,-1.0,-75.0,0.6425000000000001,1.0,1.0,75.0,0.3421052631578947,1.0,1.0,75.0,0.3421052631578947,1.0,1.0,75.0,0.3421052631578947,1.0,1.0,75.0,0.3421052631578947
TP6,maddpg,0,4,2018-12-01 01:00:00+00:00,32064,-12.446243858337402,-62.23121929168701,955.5024910880547,0.23887562277201368,8.974557147544553,0.0,0.0,0.5991259217262268,0.0,0.9631043076515198,1.0,1.2117890119552612,0.0,0.0,True,True,False,0.09375,-1.0,-1.0,-75.0,0.6781250000000001,1.0,1.0,75.0,0.30263157894736836,1.0,1.0,75.0,0.30263157894736836,1.0,1.0,75.0,0.30263157894736836,1.0,1.0,75.0,0.30263157894736836
TP6,maddpg,0,5,2018-12-01 01:15:00+00:00,32064,-12.26782398223877,-61.33911991119385,941.7306592863497,0.23543266482158742,8.84520521734704,0.0,0.0,0.591232180595398,0.0,0.9636123776435852,1.0,1.1952763795852661,0.0,0.0,True,True,False,0.09374999441206455,-0.9999997019767761,-0.9999997019767761,-74.99997764825821,0.7137499893829228,1.0,1.0,75.0,0.26315789473684204,1.0,1.0,75.0,0.26315789473684204,1.0,1.0,75.0,0.26315789473684204,1.0,1.0,75.0,0.26315789473684204
TP6,maddpg,0,6,2018-12-01 01:30:00+00:00,32064,-12.143679237365722,-60.71839618682861,932.2109329898467,0.23305273324746167,8.755791188107136,0.0,0.0,0.5851503014564514,0.0,0.9640053510665894,1.0,1.1837352514266968,0.0,0.0,True,True,False,0.09374992176890373,-0.9999958276748657,-0.9999958276748657,-74.99968707561493,0.7493748407438399,1.0,1.0,75.0,0.2236842105263157,1.0,1.0,75.0,0.2236842105263157,1.0,1.0,75.0,0.2236842105263157,1.0,1.0,75.0,0.2236842105263157
TP6,maddpg,0,7,2018-12-01 01:45:00+00:00,32064,-12.025529479980468,-60.127647399902344,923.1488468155931,0.23078721170389827,8.670675543715458,0.0,0.0,0.5793827176094055,0.0,0.9643704891204834,1.0,1.1727259159088135,0.0,0.0,True,True,False,0.09374769553542137,-0.999877393245697,-0.999877393245697,-74.99080449342728,0.7849954728782178,1.0,1.0,75.0,0.18421052631578938,1.0,1.0,75.0,0.18421052631578938,1.0,1.0,75.0,0.18421052631578938,0.9999997019767761,0.9999997019767761,74.99997764825821,0.184210538079864
TP6,maddpg,0,8,2018-12-01 02:00:00+00:00,32064,-12.056288146972657,-60.28144073486328,966.141872664366,0.2415354681660915,8.646969760346074,0.0,0.0,0.6177366375923157,0.0,0.9602948427200317,1.0,1.2033709287643433,0.0,0.0,True,True,False,0.07557624215260147,-0.8619581460952759,-0.8619581460952759,-64.64686095714569,0.815702731832862,1.0,1.0,75.0,0.14473684210526305,1.0,1.0,75.0,0.14473684210526305,1.0,1.0,75.0,0.14473684210526305,0.1687747687101364,0.1687747687101364,12.658107653260231,0.17754837615709546
TP6,maddpg,0,9,2018-12-01 02:15:00+00:00,32064,-11.43646297454834,-57.1823148727417,915.3801186982946,0.22884502967457365,8.192652062349737,0.0,0.0,0.6067705154418945,0.0,0.9586083292961121,1.0,1.1594293117523193,0.0,0.0,True,True,False,0.09116230309009551,0.8632128238677979,0.8632128238677979,64.74096179008484,0.7816285414170279,1.0,1.0,75.0,0.10526315789473674,1.0,1.0,75.0,0.10526315789473674,1.0,1.0,75.0,0.10526315789473674,-0.9987766742706299,-0.9987766742706299,-74.90825057029724,0.21312979517798664
