model,run,topology_case,policy,episodes,mean_total_reward_mean,std_total_reward_mean,mean_total_reward_team,std_total_reward_team,mean_energy_cost,mean_grid_import_mwh,mean_curtailment_mwh,mean_throughput_mwh,mean_voltage_deviation,worst_min_voltage_pu,worst_max_voltage_pu,worst_line_current_pu,worst_voltage_violation,worst_line_current_violation,mean_infeasible_requested_count,mean_feasible_rate,mean_converged_rate,source_folder
MLP,0,TP6,mlp_maddpg,31,-1123.8409770801245,577.9982200587799,-5619.204885400622,2889.9911002939,678.237285361313,17.075468798635775,4.9481108049056175,3.8992126794602338,0.4924312102538283,0.9389480352401732,1.0028717517852783,1.7554413080215454,0.0110519382397138,0.0,8.870967741935484,0.9079301075268816,1.0,mlp_ieee33_tp6_load1p1_run0
MLP,1,TP6,mlp_maddpg,31,-1198.3766954326102,592.1247392333614,-5991.883477163051,2960.623696166807,700.4634674201925,17.55355794752212,5.382264954902849,3.3230806337048366,0.5043806039718209,0.9389480352401732,1.0026254653930664,1.7554413080215454,0.0110519382397138,0.0,11.064516129032258,0.9038978494623656,1.0,mlp_ieee33_tp6_load1p1_run1
MLP,2,TP6,mlp_maddpg,31,-1189.2985767694852,654.5366469527421,-5946.492883847425,3272.683234763711,681.8598696228652,17.086508410224475,4.980337712927185,3.739581843476104,0.4932582572863627,0.9389480352401732,1.0121970176696775,1.7554413080215454,0.0110519382397138,0.0,11.903225806451612,0.8991935483870968,1.0,mlp_ieee33_tp6_load1p1_run2
GCN,0,TP6,maddpg,31,-1191.3871392738886,601.9169455461064,-5956.935696369443,3009.584727730532,694.9345961776379,17.333253469715284,5.224908830410892,2.960011532948872,0.4967056114066352,0.9389480352401732,1.0066989660263062,1.7554413080215454,0.0110519382397138,0.0,11.129032258064516,0.8854166666666667,1.0,gcn_ieee33_tp6_load1p1_run0
GCN,1,TP6,maddpg,31,-1088.1653742982376,589.385831386847,-5440.826871491187,2946.929156934236,672.2664082099882,16.974221298822737,4.821806360711219,5.131907501553857,0.4918317345762125,0.9389480352401732,1.0087532997131348,1.7554413080215454,0.0110519382397138,0.0,7.483870967741935,0.9442204301075268,1.0,gcn_ieee33_tp6_load1p1_run1
GCN,2,TP6,maddpg,31,-1239.116005804528,647.1028342548467,-6195.58002902264,3235.514171274233,680.0268141297769,17.288305877934278,5.092580128447382,4.813720438722352,0.4975761017331513,0.9389480352401732,1.0107945203781128,1.7554413080215454,0.0110519382397138,0.0,14.483870967741936,0.927755376344086,1.0,gcn_ieee33_tp6_load1p1_run2
GAT,0,TP6,maddpg,31,-1152.8624381260286,585.9014345417037,-5764.312190630143,2929.507172708519,676.6311279899338,17.167331278814615,4.983381416470179,4.247242809194026,0.493558249987101,0.9389480352401732,1.0036275386810305,1.7554413080215454,0.0110519382397138,0.0,10.419354838709678,0.927755376344086,1.0,gat_ieee33_tp6_load1p1_run0
GAT,1,TP6,maddpg,31,-1181.3493755172587,589.2810221830828,-5906.746877586294,2946.405110915414,690.0800319920583,17.360399487916187,5.238857719897994,4.33967342988,0.4978445487357275,0.9389480352401732,1.007124662399292,1.7554413080215454,0.0110519382397138,0.0,10.935483870967742,0.9049059139784946,1.0,gat_ieee33_tp6_load1p1_run1
GAT,2,TP6,maddpg,31,-1206.4440816509305,655.9608679820747,-6032.220408254652,3279.804339910373,679.7250755438286,17.05895227304744,4.966566021033469,3.623784409609813,0.492840613308613,0.9389480352401732,1.0078343152999878,1.7554413080215454,0.0110519382397138,0.0,12.903225806451612,0.9008736559139784,1.0,gat_ieee33_tp6_load1p1_run2
TAGConv,0,TP6,maddpg,31,-1129.069596525534,614.6048529995508,-5645.34798262767,3073.024264997755,674.6804515948335,17.115534180048613,4.957412653886228,4.829749320472982,0.4939141519247524,0.9389480352401732,1.0080187320709229,1.7554413080215454,0.0110519382397138,0.0,9.35483870967742,0.927755376344086,1.0,tagconv_ieee33_tp6_load1p1_run0
TAGConv,1,TP6,maddpg,31,-1137.4225774582198,593.8559700198801,-5687.112887291099,2969.279850099401,685.7248862119732,17.22164047098031,5.19575285149503,3.677389082527908,0.4962390297523109,0.9389480352401732,1.0037323236465454,1.7554413080215454,0.0110519382397138,0.0,9.03225806451613,0.9163306451612904,1.0,tagconv_ieee33_tp6_load1p1_run1
TAGConv,2,TP6,maddpg,31,-1145.2496096165255,601.0823542565018,-5726.248048082627,3005.4117712825096,670.2962003453827,16.837346206642017,4.736458866177634,4.328002656001302,0.4893626308929856,0.9389480352401732,1.009840965270996,1.7554413080215454,0.0110519382397138,0.0,10.483870967741936,0.9028897849462364,1.0,tagconv_ieee33_tp6_load1p1_run2
