metric,arch,baseline,load_factor,n_pairs,wilcoxon_statistic,p_raw,p_holm,sig,baseline_mean,arch_mean,mean_difference_arch_minus_mlp,median_difference_arch_minus_mlp,percent_difference_arch_vs_mlp,percent_improvement_vs_mlp,wins,ties,losses,better_direction
cost,gat,mlp,1.0,31,173.0,0.14605465531349182,0.14605465531349182,False,606.080816902437,604.8423737029451,-1.2384431994919232,-0.4158006507450409,-0.20433631373145672,0.20433631373145672,20,0,11,lower
cost,gcn,mlp,1.0,31,114.0,0.007560359314084053,0.015120718628168106,True,606.080816902437,602.6705466346453,-3.4102702677916685,-3.5409425608741003,-0.5626758301344926,0.5626758301344926,22,0,9,lower
cost,tagconv,mlp,1.0,31,7.0,1.7695128917694092e-08,5.3085386753082275e-08,True,606.080816902437,597.6515099092528,-8.429306993184248,-8.316774821726995,-1.390789273989039,1.390789273989039,28,0,3,lower
cost,gat,mlp,1.1,31,81.0,0.0006440151482820511,0.000756487250328064,True,686.8535408014569,682.1454118419402,-4.708128959516647,-4.884012536851742,-0.6854633018303986,0.6854633018303986,22,0,9,lower
cost,gcn,mlp,1.1,31,75.0,0.000378243625164032,0.000756487250328064,True,686.8535408014569,682.4092728391342,-4.444267962322514,-4.786426939831699,-0.6470473977810267,0.6470473977810267,25,0,6,lower
cost,tagconv,mlp,1.1,31,2.0,2.7939677238464355e-09,8.381903171539307e-09,True,686.8535408014569,676.9005127173964,-9.95302808406045,-8.628909816359737,-1.449075748003978,1.449075748003978,30,0,1,lower
cost,gat,mlp,1.2,31,61.0,9.619537740945816e-05,9.619537740945816e-05,True,772.6201689389475,762.6298916375782,-9.99027730136905,-6.603457960824699,-1.2930386369655695,1.2930386369655695,22,0,9,lower
cost,gcn,mlp,1.2,31,18.0,2.3562461137771606e-07,4.7124922275543213e-07,True,772.6201689389475,763.2590509541757,-9.361117984771715,-7.934203605051607,-1.211606732662387,1.211606732662387,27,0,4,lower
cost,tagconv,mlp,1.2,31,0.0,9.313225746154785e-10,2.7939677238464355e-09,True,772.6201689389475,758.4313425267587,-14.188826412188082,-9.267983911218153,-1.8364556068571838,1.8364556068571838,31,0,0,lower
cost,gat,mlp,1.3,31,55.0,5.0222501158714294e-05,5.0222501158714294e-05,True,862.9636035406763,848.3576010959517,-14.60600244472463,-7.089582117611826,-1.692539799453562,1.692539799453562,24,0,7,lower
cost,gcn,mlp,1.3,31,14.0,1.0244548320770264e-07,2.0489096641540527e-07,True,862.9636035406763,849.537929949752,-13.4256735909242,-12.562553389401273,-1.555763596035778,1.555763596035778,29,0,2,lower
cost,tagconv,mlp,1.3,31,9.0,3.073364496231079e-08,9.220093488693237e-08,True,862.9636035406763,845.2351957507417,-17.728407789934586,-12.64880434946474,-2.054363326239517,2.054363326239517,30,0,1,lower
cost,gat,mlp,1.4,31,72.0,0.0002865353599190712,0.0002865353599190712,True,952.0584995145784,937.0345438896211,-15.023955624957269,-7.288519200860151,-1.5780496295781767,1.5780496295781767,23,0,8,lower
cost,gcn,mlp,1.4,31,36.0,4.6193599700927734e-06,1.385807991027832e-05,True,952.0584995145784,939.8036075521153,-12.25489196246309,-8.492656143928002,-1.287199470275355,1.287199470275355,27,0,4,lower
cost,tagconv,mlp,1.4,31,52.0,3.570038825273514e-05,7.140077650547028e-05,True,952.0584995145784,935.0747592910845,-16.983740223493736,-14.961155843459892,-1.7838967072037397,1.7838967072037397,26,0,5,lower
feasibility,gat,mlp,1.0,31,52.0,0.9748669210635901,0.9748669210635901,False,0.9844310035842294,0.9842069892473119,-0.0002240143369175691,0.0,,,7,17,7,higher
feasibility,gcn,mlp,1.0,31,14.0,0.02723389815149365,0.0544677963029873,False,0.9844310035842294,0.9874551971326164,0.0030241935483870824,0.0,,,11,18,2,higher
feasibility,tagconv,mlp,1.0,31,0.0,0.0032067376594402783,0.009620212978320835,True,0.9844310035842294,0.9874551971326168,0.003024193548387104,0.0,,,11,20,0,higher
feasibility,gat,mlp,1.1,31,8.5,0.002071665553819735,0.003492361871778344,True,0.9036738351254481,0.9111783154121863,0.00750448028673835,0.0,,,14,15,2,higher
feasibility,gcn,mlp,1.1,31,25.5,0.001746180935889172,0.003492361871778344,True,0.9036738351254481,0.91913082437276,0.01545698924731183,0.006944444444444531,,,18,10,3,higher
feasibility,tagconv,mlp,1.1,31,0.0,0.0001909956564316203,0.0005729869692948609,True,0.9036738351254481,0.9156586021505375,0.0119847670250896,0.00694444444444442,,,18,13,0,higher
feasibility,gat,mlp,1.2,31,60.0,0.09279227612938298,0.09279227612938298,False,0.8015232974910396,0.8084677419354838,0.006944444444444445,0.0,,,13,11,7,higher
feasibility,gcn,mlp,1.2,31,14.0,0.0006798746354693244,0.0020396239064079734,True,0.8015232974910396,0.8278449820788532,0.026321684587813615,0.02083333333333315,,,18,11,2,higher
feasibility,tagconv,mlp,1.2,31,20.0,0.0009014450008844479,0.0020396239064079734,True,0.8015232974910396,0.8254928315412187,0.023969534050179202,0.01736111111111116,,,19,10,2,higher
feasibility,gat,mlp,1.3,31,47.0,0.030220868587076077,0.030220868587076077,True,0.668570788530466,0.6860439068100357,0.0174731182795699,0.01041666666666663,,,16,11,4,higher
feasibility,gcn,mlp,1.3,31,4.0,0.00010628777398888856,0.0003188633219666657,True,0.668570788530466,0.6999327956989247,0.03136200716845878,0.027777777777777846,,,19,10,2,higher
