from_bus,to_bus,r_ohm,x_ohm,status,line_type
0,1,0.0005,0.0012,1,radial
1,2,0.0005,0.0012,1,radial
2,3,0.0015,0.0036,1,radial
3,4,0.0251,0.0294,1,radial
4,5,0.366,0.1864,1,radial
5,6,0.381,0.1941,1,radial
6,7,0.0922,0.047,1,radial
7,8,0.0493,0.0251,1,radial
8,9,0.819,0.2707,1,radial
9,10,0.1872,0.0619,1,radial
10,11,0.7114,0.2351,1,radial
11,12,1.03,0.34,1,radial
12,13,1.044,0.34,1,radial
13,14,1.058,0.3496,1,radial
14,15,0.1966,0.065,1,radial
15,16,0.3744,0.1238,1,radial
16,17,0.0047,0.0016,1,radial
17,18,0.3276,0.1083,1,radial
18,19,0.2106,0.069,1,radial
19,20,0.3416,0.1129,1,radial
20,21,0.014,0.0046,1,radial
21,22,0.1591,0.0526,1,radial
22,23,0.3463,0.1145,1,radial
23,24,0.7488,0.2475,1,radial
24,25,0.3089,0.1021,1,radial
25,26,0.1732,0.0572,1,radial
2,27,0.0044,0.0108,1,radial
27,28,0.064,0.1565,1,radial
28,29,0.3978,0.1315,1,radial
29,30,0.0702,0.0232,1,radial
30,31,0.351,0.116,1,radial
31,32,0.839,0.2816,1,radial
32,33,1.708,0.5646,1,radial
33,34,1.474,0.4873,1,radial
2,35,0.0044,0.0108,1,radial
35,36,0.064,0.1565,1,radial
36,37,0.1053,0.123,1,radial
37,38,0.0304,0.0355,1,radial
38,39,0.0018,0.0021,1,radial
39,40,0.7283,0.8509,1,radial
40,41,0.31,0.3623,1,radial
41,42,0.041,0.0478,1,radial
42,43,0.0092,0.0116,1,radial
43,44,0.1089,0.1373,1,radial
44,45,0.0009,0.0012,0,radial
3,46,0.0034,0.0084,1,radial
46,47,0.0851,0.2083,1,radial
47,48,0.2898,0.7091,1,radial
48,49,0.0822,0.2011,1,radial
7,50,0.0928,0.0473,1,radial
50,51,0.3319,0.114,1,radial
8,52,0.174,0.0886,1,radial
52,53,0.203,0.1034,1,radial
53,54,0.2842,0.1447,1,radial
54,55,0.2813,0.1433,1,radial
55,56,1.59,0.5337,1,radial
56,57,0.7837,0.263,1,radial
57,58,0.3042,0.1006,1,radial
58,59,0.3861,0.1172,1,radial
59,60,0.5075,0.2585,1,radial
60,61,0.0974,0.0496,1,radial
61,62,0.145,0.0738,1,radial
62,63,0.7105,0.3619,1,radial
63,64,1.041,0.5302,1,radial
10,65,0.2012,0.0611,1,radial
65,66,0.0047,0.0014,1,radial
11,67,0.7394,0.2444,1,radial
67,68,0.0047,0.0016,0,radial
12,68,0.0047,0.0016,1,tie
43,45,0.0009,0.0012,1,tie
7,51,0.3319,0.114,0,tie
8,53,0.203,0.1034,0,tie
10,12,1.03,0.34,0,tie
10,68,0.0047,0.0016,0,tie
10,64,1.041,0.5302,0,tie
