FROM,TO,R,X,B,STATUS,TAP
1,2,0.0005,0.0012,0.0,1,1.0
2,3,0.0005,0.0012,0.0,1,1.0
3,4,0.0015,0.0036,0.0,1,1.0
4,5,0.0251,0.0294,0.0,1,1.0
5,6,0.366,0.1864,0.0,1,1.0
6,7,0.381,0.1941,0.0,1,1.0
7,8,0.0922,0.047,0.0,1,1.0
8,9,0.0493,0.0251,0.0,1,1.0
9,10,0.819,0.2707,0.0,1,1.0
10,11,0.1872,0.0619,0.0,1,1.0
11,12,0.7114,0.2351,0.0,1,1.0
12,13,1.03,0.34,0.0,0,1.0
13,14,1.044,0.34,0.0,1,1.0
14,15,1.058,0.3496,0.0,1,1.0
15,16,0.1966,0.065,0.0,1,1.0
16,17,0.3744,0.1238,0.0,1,1.0
17,18,0.0047,0.0016,0.0,1,1.0
18,19,0.3276,0.1083,0.0,1,1.0
19,20,0.2106,0.069,0.0,1,1.0
20,21,0.3416,0.1129,0.0,1,1.0
21,22,0.014,0.0046,0.0,1,1.0
22,23,0.1591,0.0526,0.0,1,1.0
23,24,0.3463,0.1145,0.0,1,1.0
24,25,0.7488,0.2475,0.0,1,1.0
25,26,0.3089,0.1021,0.0,1,1.0
26,27,0.1732,0.0572,0.0,1,1.0
3,28,0.0044,0.0108,0.0,1,1.0
28,29,0.064,0.1565,0.0,1,1.0
29,30,0.3978,0.1315,0.0,1,1.0
30,31,0.0702,0.0232,0.0,1,1.0
31,32,0.351,0.116,0.0,1,1.0
32,33,0.839,0.2816,0.0,1,1.0
33,34,1.708,0.5646,0.0,1,1.0
34,35,1.474,0.4873,0.0,1,1.0
3,36,0.0044,0.0108,0.0,1,1.0
36,37,0.064,0.1565,0.0,1,1.0
37,38,0.1053,0.123,0.0,1,1.0
38,39,0.0304,0.0355,0.0,1,1.0
39,40,0.0018,0.0021,0.0,1,1.0
40,41,0.7283,0.8509,0.0,1,1.0
41,42,0.31,0.3623,0.0,1,1.0
42,43,0.041,0.0478,0.0,1,1.0
43,44,0.0092,0.0116,0.0,1,1.0
44,45,0.1089,0.1373,0.0,1,1.0
45,46,0.0009,0.0012,0.0,1,1.0
4,47,0.0034,0.0084,0.0,1,1.0
47,48,0.0851,0.2083,0.0,1,1.0
48,49,0.2898,0.7091,0.0,1,1.0
49,50,0.0822,0.2011,0.0,1,1.0
8,51,0.0928,0.0473,0.0,1,1.0
51,52,0.3319,0.114,0.0,1,1.0
9,53,0.174,0.0886,0.0,1,1.0
53,54,0.203,0.1034,0.0,1,1.0
54,55,0.2842,0.1447,0.0,1,1.0
55,56,0.2813,0.1433,0.0,1,1.0
56,57,1.59,0.5337,0.0,1,1.0
57,58,0.7837,0.263,0.0,1,1.0
58,59,0.3042,0.1006,0.0,1,1.0
59,60,0.3861,0.1172,0.0,1,1.0
60,61,0.5075,0.2585,0.0,1,1.0
61,62,0.0974,0.0496,0.0,1,1.0
62,63,0.145,0.0738,0.0,1,1.0
63,64,0.7105,0.3619,0.0,1,1.0
64,65,1.041,0.5302,0.0,1,1.0
11,66,0.2012,0.0611,0.0,1,1.0
66,67,0.0047,0.0014,0.0,1,1.0
12,68,0.7394,0.2444,0.0,1,1.0
68,69,0.0047,0.0016,0.0,1,1.0
13,69,0.0047,0.0016,0.0,0,1.0
44,46,0.0009,0.0012,0.0,0,1.0
8,52,0.3319,0.114,0.0,0,1.0
9,54,0.203,0.1034,0.0,0,1.0
11,13,1.03,0.34,0.0,1,1.0
11,69,0.0047,0.0016,0.0,0,1.0
11,65,1.041,0.5302,0.0,0,1.0
