Topology,Avg Reward,Energy Cost,Grid Import,Curtailment,Voltage Dev.,Throughput,Worst Min Voltage,Worst Max Voltage,Worst Line Current,Feasible Rate,Converged Rate,,Model
TP1,-2145.06 +/- 9.89,1573.92 +/- 7.40,40.10 +/- 0.14,0.01 +/- 0.01,0.7409 +/- 0.0037,7.43 +/- 1.24,0.9501 +/- 0.0001,1.0120 +/- 0.0030,3.1036 +/- 0.0280,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GAT
TP2,-2147.36 +/- 10.05,1574.17 +/- 6.66,40.09 +/- 0.13,0.01 +/- 0.01,0.7447 +/- 0.0030,7.44 +/- 1.24,0.9500 +/- 0.0000,1.0116 +/- 0.0030,3.0912 +/- 0.0258,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GAT
TP3,-2145.04 +/- 9.89,1573.92 +/- 7.40,40.10 +/- 0.14,0.01 +/- 0.01,0.7408 +/- 0.0037,7.43 +/- 1.24,0.9501 +/- 0.0001,1.0120 +/- 0.0030,3.1036 +/- 0.0280,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GAT
TP4,-2147.34 +/- 10.05,1574.17 +/- 6.66,40.09 +/- 0.13,0.01 +/- 0.01,0.7446 +/- 0.0030,7.44 +/- 1.24,0.9500 +/- 0.0000,1.0116 +/- 0.0030,3.0912 +/- 0.0258,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GAT
TP5,-2143.05 +/- 9.92,1573.31 +/- 7.42,40.08 +/- 0.14,0.01 +/- 0.01,0.7313 +/- 0.0037,7.43 +/- 1.24,0.9502 +/- 0.0001,1.0120 +/- 0.0030,3.1024 +/- 0.0279,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GAT
TP6,-2133.09 +/- 9.44,1572.91 +/- 7.31,40.06 +/- 0.13,0.01 +/- 0.01,0.7056 +/- 0.0028,7.44 +/- 1.30,0.9536 +/- 0.0001,1.0107 +/- 0.0028,3.1179 +/- 0.0507,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GAT
TP7,-2144.51 +/- 9.88,1573.84 +/- 7.40,40.09 +/- 0.14,0.01 +/- 0.01,0.7374 +/- 0.0036,7.43 +/- 1.24,0.9503 +/- 0.0001,1.0120 +/- 0.0030,3.1034 +/- 0.0280,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GAT
TP8,-2148.77 +/- 11.94,1573.32 +/- 6.73,40.07 +/- 0.14,0.01 +/- 0.01,0.7287 +/- 0.0037,7.28 +/- 1.13,0.9500 +/- 0.0001,1.0125 +/- 0.0037,3.0979 +/- 0.0241,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GAT
TP9,-2153.11 +/- 11.26,1573.63 +/- 5.98,40.07 +/- 0.14,0.01 +/- 0.01,0.7326 +/- 0.0032,7.29 +/- 1.12,0.9500 +/- 0.0000,1.0115 +/- 0.0035,3.0917 +/- 0.0210,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GAT
TP1,-2150.04 +/- 6.88,1582.69 +/- 5.51,40.07 +/- 0.10,0.03 +/- 0.03,0.7394 +/- 0.0048,6.36 +/- 1.08,0.9509 +/- 0.0012,1.0141 +/- 0.0050,3.0777 +/- 0.0293,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GCN
TP2,-2151.73 +/- 5.74,1583.54 +/- 4.64,40.09 +/- 0.12,0.03 +/- 0.03,0.7442 +/- 0.0049,6.37 +/- 1.08,0.9512 +/- 0.0013,1.0142 +/- 0.0050,3.0779 +/- 0.0293,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GCN
TP3,-2150.02 +/- 6.88,1582.68 +/- 5.51,40.07 +/- 0.10,0.03 +/- 0.03,0.7393 +/- 0.0048,6.36 +/- 1.08,0.9509 +/- 0.0012,1.0141 +/- 0.0050,3.0777 +/- 0.0293,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GCN
TP4,-2151.71 +/- 5.74,1583.54 +/- 4.64,40.09 +/- 0.12,0.03 +/- 0.03,0.7440 +/- 0.0049,6.37 +/- 1.08,0.9512 +/- 0.0013,1.0142 +/- 0.0050,3.0779 +/- 0.0293,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GCN
TP5,-2147.99 +/- 6.90,1582.03 +/- 5.53,40.06 +/- 0.10,0.03 +/- 0.03,0.7298 +/- 0.0048,6.36 +/- 1.08,0.9509 +/- 0.0012,1.0141 +/- 0.0050,3.0766 +/- 0.0293,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GCN
TP6,-2143.72 +/- 8.18,1581.36 +/- 6.25,40.04 +/- 0.09,0.03 +/- 0.03,0.7043 +/- 0.0039,6.35 +/- 1.07,0.9542 +/- 0.0022,1.0123 +/- 0.0044,3.0755 +/- 0.0294,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GCN
TP7,-2149.48 +/- 6.87,1582.60 +/- 5.51,40.07 +/- 0.10,0.03 +/- 0.03,0.7359 +/- 0.0047,6.36 +/- 1.08,0.9510 +/- 0.0011,1.0140 +/- 0.0050,3.0776 +/- 0.0293,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GCN
TP8,-2147.96 +/- 6.71,1581.90 +/- 5.57,40.05 +/- 0.10,0.03 +/- 0.03,0.7275 +/- 0.0049,6.37 +/- 1.08,0.9507 +/- 0.0009,1.0149 +/- 0.0055,3.0764 +/- 0.0293,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GCN
TP9,-2149.67 +/- 5.93,1582.77 +/- 4.71,40.07 +/- 0.12,0.03 +/- 0.03,0.7323 +/- 0.0050,6.38 +/- 1.08,0.9508 +/- 0.0011,1.0151 +/- 0.0055,3.0766 +/- 0.0292,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GCN
TP1,-2154.77 +/- 4.28,1587.33 +/- 2.86,39.88 +/- 0.15,0.00 +/- 0.00,0.7310 +/- 0.0048,3.45 +/- 0.69,0.9593 +/- 0.0036,1.0083 +/- 0.0055,3.1729 +/- 0.0651,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,MLP
TP2,-2155.43 +/- 4.29,1587.44 +/- 2.86,39.88 +/- 0.15,0.00 +/- 0.00,0.7352 +/- 0.0049,3.45 +/- 0.69,0.9591 +/- 0.0035,1.0084 +/- 0.0055,3.1721 +/- 0.0634,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,MLP
TP3,-2154.75 +/- 4.28,1587.33 +/- 2.86,39.88 +/- 0.15,0.00 +/- 0.00,0.7309 +/- 0.0048,3.45 +/- 0.69,0.9593 +/- 0.0036,1.0083 +/- 0.0055,3.1729 +/- 0.0652,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,MLP
TP4,-2155.41 +/- 4.29,1587.43 +/- 2.86,39.88 +/- 0.15,0.00 +/- 0.00,0.7351 +/- 0.0049,3.45 +/- 0.69,0.9591 +/- 0.0035,1.0084 +/- 0.0055,3.1722 +/- 0.0634,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,MLP
TP5,-2152.73 +/- 4.28,1586.70 +/- 2.87,39.86 +/- 0.15,0.00 +/- 0.01,0.7213 +/- 0.0048,3.45 +/- 0.68,0.9594 +/- 0.0036,1.0072 +/- 0.0056,3.1732 +/- 0.0676,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,MLP
TP6,-2149.56 +/- 4.25,1586.54 +/- 2.88,39.86 +/- 0.15,0.00 +/- 0.01,0.6975 +/- 0.0042,3.45 +/- 0.69,0.9630 +/- 0.0032,1.0062 +/- 0.0050,3.1727 +/- 0.0687,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,MLP
TP7,-2154.22 +/- 4.27,1587.25 +/- 2.86,39.88 +/- 0.15,0.00 +/- 0.01,0.7275 +/- 0.0048,3.45 +/- 0.68,0.9595 +/- 0.0036,1.0072 +/- 0.0056,3.1735 +/- 0.0666,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,MLP
TP8,-2152.10 +/- 4.29,1586.45 +/- 2.87,39.86 +/- 0.15,0.00 +/- 0.01,0.7188 +/- 0.0048,3.45 +/- 0.68,0.9591 +/- 0.0038,1.0073 +/- 0.0056,3.1736 +/- 0.0683,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,MLP
TP9,-2152.75 +/- 4.29,1586.54 +/- 2.86,39.86 +/- 0.15,0.00 +/- 0.01,0.7230 +/- 0.0049,3.45 +/- 0.68,0.9589 +/- 0.0037,1.0074 +/- 0.0056,3.1727 +/- 0.0664,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,MLP
TP1,-2147.08 +/- 15.40,1580.69 +/- 11.75,40.06 +/- 0.12,0.01 +/- 0.01,0.7384 +/- 0.0037,6.98 +/- 1.62,0.9515 +/- 0.0020,1.0106 +/- 0.0020,3.1557 +/- 0.0887,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,TAG
TP2,-2148.30 +/- 13.43,1581.16 +/- 10.37,40.09 +/- 0.11,0.00 +/- 0.00,0.7432 +/- 0.0043,7.06 +/- 1.71,0.9508 +/- 0.0010,1.0109 +/- 0.0021,3.1559 +/- 0.0887,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,TAG
TP3,-2147.06 +/- 15.40,1580.69 +/- 11.75,40.06 +/- 0.12,0.01 +/- 0.01,0.7383 +/- 0.0037,6.98 +/- 1.62,0.9515 +/- 0.0020,1.0106 +/- 0.0020,3.1557 +/- 0.0887,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,TAG
TP4,-2148.28 +/- 13.43,1581.16 +/- 10.37,40.09 +/- 0.11,0.00 +/- 0.00,0.7431 +/- 0.0043,7.06 +/- 1.71,0.9508 +/- 0.0010,1.0109 +/- 0.0021,3.1559 +/- 0.0887,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,TAG
TP5,-2145.05 +/- 15.38,1580.05 +/- 11.74,40.05 +/- 0.12,0.01 +/- 0.01,0.7288 +/- 0.0037,6.98 +/- 1.62,0.9515 +/- 0.0020,1.0106 +/- 0.0020,3.1547 +/- 0.0884,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,TAG
TP6,-2140.65 +/- 15.69,1579.12 +/- 11.93,40.03 +/- 0.13,0.00 +/- 0.00,0.7033 +/- 0.0038,6.97 +/- 1.48,0.9547 +/- 0.0036,1.0082 +/- 0.0011,3.1567 +/- 0.0845,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,TAG
TP7,-2146.44 +/- 15.74,1580.53 +/- 12.03,40.06 +/- 0.12,0.00 +/- 0.01,0.7350 +/- 0.0036,7.00 +/- 1.63,0.9515 +/- 0.0021,1.0106 +/- 0.0017,3.1556 +/- 0.0886,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,TAG
TP8,-2144.75 +/- 14.98,1580.09 +/- 11.39,40.04 +/- 0.12,0.01 +/- 0.01,0.7260 +/- 0.0036,6.89 +/- 1.63,0.9511 +/- 0.0016,1.0100 +/- 0.0023,3.1417 +/- 0.0533,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,TAG
TP9,-2146.27 +/- 12.47,1580.61 +/- 9.89,40.06 +/- 0.11,0.00 +/- 0.00,0.7311 +/- 0.0042,7.01 +/- 1.78,0.9505 +/- 0.0006,1.0107 +/- 0.0020,3.1435 +/- 0.0517,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,TAG
